# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.872,630.229,1.12532e-037,37557520,37735176,37734816,37428632,35865360,37801824,34880200,37352480,37793480,35830584,37128704
_Z15kernelFloodDownP6short2ii,95.488,121.494,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.984,140.444,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,11.808,25.81,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z20kernelUpdateVerticalP6short2iii,118.816,136.961,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,160.704,174.898,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,509.792,524.832,0.667,6746,4703,0,32768,0,0,22187,1910,217445,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,112.576,127.343,0.667,0,0,0,32768,0,0,10292,1908,49161,0,64
_Z20_A3_kernelMergeBandsP6short2ii,42.848,56.673,0.5,599,0,11564,1408,0,0,1376,96,12802,0,32
_Z20_A3_kernelMergeBandsP6short2ii,25.472,39.061,0.5,283,0,5628,720,0,0,676,46,6286,0,16
_Z20_A3_kernelMergeBandsP6short2ii,12.96,26.466,0.5,159,0,2874,364,0,0,344,24,3223,0,8
_Z20_A3_kernelMergeBandsP6short2ii,10.592,23.831,0.5,71,0,1484,176,0,0,172,12,1621,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.112,124.035,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1327.2,1345.62,0.667,0,0,262144,0,0,0,76655,15794,480711,97366,64
_Z15kernelTransposeP6short2i,158.88,177.418,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,520.608,986.373,0,1148746891,1140995916,0,12,0,0,7471215,12,12,12,0
memcpyHtoD,395.84,758.95,8.40779e-045,1143952359,1137034920,1699481980,1,6,6,6357111,1,1,1,1730004244
_Z17maKernelFloodDownP6short2ii,106.592,127.187,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.216,371.895,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,14.144,146.684,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.248,140.044,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.792,173.066,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,565.056,1452,0,1150859502,1140948206,0,12,0,0,3539024,12,12,12,0
memcpyHtoD,395.744,740.189,0,1142264660,1137039114,18,1,0,0,6815859,1,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,58.592,83.951,0.667,0,0,0,2048,0,0,5888,424,25293,0,64
_Z24_B2_maKernelCalInnerBandP6short2ii,3102.72,3375.62,0.417,0,0,8536,51832,144795,421808,219919,11993,877809,34596,64
_Z17maKernelTransposeP6short2i,161.696,181.048,0.333,0,0,0,36864,0,0,832,0,34954,0,128
memcpyDtoH,522.656,1014.61,0,1149450387,1141121745,3,12,12,12,0,12,12,12,1730004344
