# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1719.2,2058.98,1.21275e-037,11403920,11403800,30189720,11404552,29133896,11404552,11404432,11404312,30190456,30190336,29478520
_Z15kernelFloodDownP6short2ii,362.4,389.702,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,470.4,489.226,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,23.968,38.526,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,466.272,484.594,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,592.864,607.099,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2852.51,2867.19,0.667,272965,15825,0,131072,0,0,105734,15971,1258542,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,429.152,443.304,0.667,0,0,0,113848,0,0,40890,7738,189812,0,128
_Z20_A3_kernelMergeBandsP6short2ii,159.872,173.31,0.5,6544,0,34472,2520,0,0,4623,496,43921,0,64
_Z20_A3_kernelMergeBandsP6short2ii,81.376,94.766,0.5,3474,0,17622,1160,0,0,2281,245,21590,0,32
_Z20_A3_kernelMergeBandsP6short2ii,51.808,65.148,0.5,1680,0,8628,632,0,0,1172,125,11219,0,16
_Z20_A3_kernelMergeBandsP6short2ii,23.584,36.589,0.5,773,0,4226,308,0,0,577,62,5497,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.456,448.736,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1564.22,1582.56,0.667,0,0,0,131072,0,0,91632,11433,484318,0,8
_Z15kernelTransposeP6short2i,596.096,614.506,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2367.42,2813.92,0,0,0,7143541,6750318,13258688,30178528,13360928,29297192,12,12,13307712
memcpyHtoD,1734.69,2130.91,8.40779e-045,0,0,7209061,6029427,13320552,30900232,30822976,13397120,1,1,34902008
_Z17maKernelFloodDownP6short2ii,390.272,414.276,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,470.944,488.928,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,23.296,37.934,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.848,481.608,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,594.912,609.483,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2559.01,3387.07,0,0,0,6881396,7602273,13485544,30534240,30808560,13440432,12,12,30465632
memcpyHtoD,1746.27,2323.76,0,0,0,6750318,7274601,29652656,13478408,13901192,13383728,1,1,13465480
_Z23_B1_maKernelCalEndPointP6short2ii,1660.51,1686.2,0.667,0,0,0,32768,0,0,180368,25507,795424,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,16546.6,16811.7,0.417,0,0,105222,407620,433286,1888580,1601774,153581,6335310,79049,1024
_Z17maKernelTransposeP6short2i,593.12,612.094,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2368.74,2816.1,6.02558e-044,0,0,7536725,4390912,13457720,34865480,30657024,35796648,12,12,30895576
