# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.896,600.109,1.93754e-038,11403784,11403976,11403856,11404120,11404008,11403888,11403768,11404128,29133528,35964104,35963984
_Z15kernelFloodDownP6short2ii,94.528,121.653,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.312,139.37,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,43.36,57.413,0.667,0,0,0,2488,0,0,3010,336,14440,0,64
_Z20kernelUpdateVerticalP6short2iii,122.24,140.691,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.816,173.65,0.333,0,0,0,36864,0,0,832,0,34952,0,128
_Z25_A1_kernelProximatePointsP6short2ii,131.872,146.149,0.667,551,364,0,6464,0,0,10196,35,45838,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,55.168,69.599,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.776,65.747,0.5,3211,0,2048,2844,0,0,1460,39,13597,0,32
_Z20_A3_kernelMergeBandsP6short2ii,42.304,55.855,0.5,2808,0,2546,1440,0,0,887,36,8938,0,16
_Z20_A3_kernelMergeBandsP6short2ii,25.312,38.773,0.5,1420,0,1528,704,0,0,520,30,5227,0,8
_Z20_A3_kernelMergeBandsP6short2ii,17.856,31.371,0.5,800,0,964,308,0,0,253,14,2543,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,108.416,122.209,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,453.248,471.671,0.667,0,0,262144,0,0,0,16683,547,85253,119789,64
_Z15kernelTransposeP6short2i,158.976,177.728,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.632,1100.66,0,0,1730004244,0,1730004244,35539584,13965544,2,4294967295,0,1150597751,1150597751
memcpyHtoD,396.48,697.089,8.40779e-045,0,0,0,0,0,2555907,786439,4294967295,2555926,1144401412,1144401412
_Z17maKernelFloodDownP6short2ii,109.344,128.531,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.472,140.074,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,42.912,57.335,0.667,0,0,0,2488,0,0,3010,336,14442,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.536,140.041,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,160.128,174.492,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.728,1248.33,0,1,61440,1730004344,61440,327683,2752531,1,384,196627,1151233130,1151233130
memcpyHtoD,396.192,799.359,0,0,274608,264,274432,50856080,51118177,34752824,0,51118168,1142373646,1142373646
_Z23_B1_maKernelCalEndPointP6short2ii,2708.9,2733.55,0.667,0,0,0,16384,0,0,260513,15486,1045635,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,3680.83,3927.3,0.417,0,0,0,25064,12152,49488,120636,2204,440358,0,512
_Z17maKernelTransposeP6short2i,158.08,177.598,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,527.968,1236.26,4.90454e-044,0,81,0,21,0,1,34753112,0,13785329,1149414670,1149414670
