# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1662.94,1962.62,1.24836e-037,35830360,36472704,36472584,37352480,37734696,35203976,35042896,37453448,37958832,38043464,37296824
_Z15kernelFloodDownP6short2ii,365.44,393.997,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.44,488.221,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.296,33.807,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,461.216,479.818,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,598.56,612.987,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1791.87,1806.17,0.667,1010,15362,0,131072,0,0,85554,5977,805500,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.864,443.295,0.667,0,0,0,131072,0,0,39129,5977,190577,0,128
_Z20_A3_kernelMergeBandsP6short2ii,66.88,80.748,0.5,344,0,12300,3532,0,0,2482,147,22890,0,64
_Z20_A3_kernelMergeBandsP6short2ii,35.552,49.191,0.5,186,0,6284,1820,0,0,1232,72,11348,0,32
_Z20_A3_kernelMergeBandsP6short2ii,21.824,35.488,0.5,85,0,2948,908,0,0,640,40,5947,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.296,25.323,0.5,32,0,1222,468,0,0,278,13,2552,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.256,450.198,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1302.75,1321.33,0.667,0,0,0,131072,0,0,81604,6827,433635,0,8
_Z15kernelTransposeP6short2i,602.368,621.122,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2342.69,2773.64,0,12,12,0,0,12,12,0,1161032114,12,12,0
memcpyHtoD,1727.46,2107.53,8.40779e-045,1,1,6,0,1,1,6,1158005498,1,1,0
_Z17maKernelFloodDownP6short2ii,389.376,413.254,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,471.296,489.984,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,19.776,33.753,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.912,481.367,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,598.624,613.089,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2561.38,3376.16,0,12,12,0,0,12,12,0,1163050054,12,12,0
memcpyHtoD,1677.76,1959.68,0,1,1,0,4294967294,1,1,0,1157664481,1,1,4294967294
_Z23_B1_maKernelCalEndPointP6short2ii,104.864,132.399,0.667,0,0,0,4096,0,0,10614,590,45236,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,8168.13,8751.79,0.417,0,0,1248,129088,452326,1048920,511233,19162,2050955,6404,128
_Z17maKernelTransposeP6short2i,598.272,617.186,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
memcpyDtoH,2417.28,2874.94,4148.63,12,12,12,0,12,12,0,1163507544,12,12,0
