# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.088,600.605,1.23574e-037,11403856,36244104,11404552,11404432,11404264,11404144,11404024,11403904,37546792,37546672,37607880
_Z15kernelFloodDownP6short2ii,94.432,120.516,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.536,140.152,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12.192,26.487,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z20kernelUpdateVerticalP6short2iii,118.848,137.836,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.336,172.66,0.333,0,0,0,36864,0,0,832,0,34953,0,128
_Z25_A1_kernelProximatePointsP6short2ii,510.72,525.295,0.667,6746,4703,0,32768,0,0,22187,1910,217445,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,112.928,127.951,0.667,0,0,0,32768,0,0,10292,1908,49156,0,64
_Z20_A3_kernelMergeBandsP6short2ii,43.392,57.879,0.5,599,0,11564,1408,0,0,1376,96,12803,0,32
_Z20_A3_kernelMergeBandsP6short2ii,25.792,39.699,0.5,283,0,5628,720,0,0,676,46,6286,0,16
_Z20_A3_kernelMergeBandsP6short2ii,13.216,26.637,0.5,159,0,2874,364,0,0,344,24,3228,0,8
_Z20_A3_kernelMergeBandsP6short2ii,10.656,23.964,0.5,71,0,1484,176,0,0,172,12,1620,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.408,123.593,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1322.88,1341.73,0.667,0,0,262144,0,0,0,76655,15794,480711,96877,64
_Z15kernelTransposeP6short2i,157.248,176.546,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,518.272,1028.29,0,0,7143541,6750318,4390912,29299304,13401368,30671744,30727528,12,12,0
memcpyHtoD,397.824,718.839,8.40779e-045,0,7209061,6029427,5242947,13209520,13256000,37720696,13407760,1,1,0
_Z17maKernelFloodDownP6short2ii,106.56,126.294,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.152,139.623,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,11.84,26.081,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z22maKernelUpdateVerticalP6short2iii,119.168,137.848,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.4,172.579,0.333,0,0,0,36864,0,0,832,0,34954,0,128
memcpyDtoH,517.888,1237.57,0,1730004344,6881396,7602273,6619220,35975040,14008648,13445824,13472720,12,12,0
memcpyHtoD,396.608,596.214,0,264,6750318,7274601,6029400,35267784,37989712,36120608,35495912,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,420.672,442.7,0.667,0,0,0,16384,0,0,47427,3435,203763,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,1379.46,1624.82,0.417,0,0,0,20320,71680,201648,84669,4279,357431,0,512
_Z17maKernelTransposeP6short2i,157.92,176.702,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.952,1008.7,7.42688e-044,0,7536725,4390912,3211390,36064752,13480792,13492248,36075352,12,12,0
