# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.312,615.817,1.07988e-037,35630240,30206576,35031472,29787232,37643728,37663864,37510440,37494504,29139176,34878256,37491072
_Z15kernelFloodDownP6short2ii,95.648,122.131,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.024,139.46,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,11.904,26.252,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z20kernelUpdateVerticalP6short2iii,121.408,140.002,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,160.384,175.505,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,571.776,586.028,0.667,25896,3234,0,32768,0,0,23261,2465,240653,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,113.728,127.674,0.667,0,0,0,32764,0,0,10304,1920,49172,0,64
_Z20_A3_kernelMergeBandsP6short2ii,55.904,69.759,0.5,1267,0,13420,1212,0,0,1598,133,14996,0,32
_Z20_A3_kernelMergeBandsP6short2ii,31.392,44.46,0.5,603,0,6638,536,0,0,772,62,7230,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.48,30.848,0.5,319,0,3318,296,0,0,410,35,3873,0,8
_Z20_A3_kernelMergeBandsP6short2ii,14.048,27.828,0.5,131,0,1472,164,0,0,208,18,1961,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.432,124.225,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1193.02,1211.55,0.667,0,0,262144,0,0,0,68880,14217,426440,96790,64
_Z15kernelTransposeP6short2i,161.344,180.194,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,521.92,1022.37,0,0,0,0,0,0,0,0,0,12,12,1149153411
memcpyHtoD,397.824,697.931,8.40779e-045,0,6,6,0,0,6,6,0,1,1,1145495650
_Z17maKernelFloodDownP6short2ii,105.984,125.776,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.312,139.632,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12.224,26.409,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.992,139.491,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.656,173.355,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,519.136,1240.35,0,0,0,0,0,0,0,0,0,12,12,1150899241
memcpyHtoD,396.512,616.822,0,4294967294,0,0,4294967294,4294967294,0,0,4294967294,1,1,1142428942
_Z23_B1_maKernelCalEndPointP6short2ii,133.76,155.779,0.667,0,0,0,4096,0,0,13843,1493,62158,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,4319.78,4570.43,0.417,0,0,34298,97744,169764,702276,374882,29464,1506886,55428,128
_Z17maKernelTransposeP6short2i,159.328,178.203,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,533.152,1301.22,8.82818e-044,0,12,12,0,0,12,12,0,12,12,1148775580
