# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.76,592.777,1.16513e-037,35077088,14080688,29139176,30206576,35654552,30036360,13697152,13689904,34953768,29830176,35809816
_Z15kernelFloodDownP6short2ii,95.104,121.96,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.256,138.627,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,59.744,73.906,0.667,0,0,0,9280,0,0,3942,999,21459,0,64
_Z20kernelUpdateVerticalP6short2iii,120.16,138.937,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,157.984,172.206,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,468.992,483.139,0.667,29558,3800,0,27328,0,0,20117,734,189313,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,68.032,82.294,0.667,0,0,0,7852,0,0,8646,262,27989,0,64
_Z20_A3_kernelMergeBandsP6short2ii,88,102.345,0.5,8453,0,13356,2960,0,0,2734,195,27356,0,32
_Z20_A3_kernelMergeBandsP6short2ii,49.376,62.637,0.5,3771,0,6848,1296,0,0,1219,90,11970,0,16
_Z20_A3_kernelMergeBandsP6short2ii,27.36,41.774,0.5,2013,0,3414,704,0,0,676,49,6722,0,8
_Z20_A3_kernelMergeBandsP6short2ii,23.456,38.162,0.5,925,0,1830,320,0,0,343,28,3384,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.592,124.291,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,458.912,477.915,0.667,0,0,262144,0,0,0,21509,1861,116399,104414,64
_Z15kernelTransposeP6short2i,159.648,178.233,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,520.8,1113.92,0,0,0,0,7471215,0,0,0,0,12,12,1152171540
memcpyHtoD,395.936,734.968,8.40779e-045,6,6,0,6357111,6,6,0,6,1,1,1147635007
_Z17maKernelFloodDownP6short2ii,107.168,126.961,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.16,138.865,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,58.72,73.007,0.667,0,0,0,9280,0,0,3942,999,21459,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.4,140.943,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.344,171.592,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.76,1245.86,0,0,304,0,3539024,0,0,0,0,12,12,1151065129
memcpyHtoD,395.456,615.766,0,0,13,4294967294,6815859,0,0,4294967294,0,1,1,1142517580
_Z23_B1_maKernelCalEndPointP6short2ii,362.624,385.416,0.667,0,0,0,2048,0,0,37731,4291,150628,0,64
_Z24_B2_maKernelCalInnerBandP6short2ii,9668.51,9915.11,0.417,0,0,70520,124552,70413,288808,785283,59364,2832161,33705,64
_Z17maKernelTransposeP6short2i,161.568,300.424,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,535.552,1307.64,2860.31,0,0,0,0,30657024,35796648,0,1161068954,12,12,1149073981
