# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1720.96,2072.02,1.11676e-037,11404368,11404248,11404128,11404008,35134344,11404552,11404432,11404312,29298344,29298224,35654552
_Z15kernelFloodDownP6short2ii,366.688,398.739,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,471.616,490.041,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,23.552,37.903,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,467.488,485.785,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,596.96,611.98,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2847.2,2861.26,0.667,272965,15825,0,131072,0,0,105734,15971,1258542,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.736,442.968,0.667,0,0,0,113848,0,0,40890,7738,189812,0,128
_Z20_A3_kernelMergeBandsP6short2ii,156.32,170.083,0.5,6544,0,34472,2520,0,0,4623,496,43922,0,64
_Z20_A3_kernelMergeBandsP6short2ii,81.536,95.656,0.5,3474,0,17622,1160,0,0,2281,245,21585,0,32
_Z20_A3_kernelMergeBandsP6short2ii,53.536,66.484,0.5,1680,0,8628,632,0,0,1172,125,11219,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.064,37.78,0.5,773,0,4226,308,0,0,577,62,5499,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.192,449.894,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1566.37,1584.82,0.667,0,0,0,131072,0,0,91632,11433,484318,0,8
_Z15kernelTransposeP6short2i,598.144,616.813,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2374.94,2823.11,0,0,4294967295,3,34341202,30838264,34831392,29069192,35838784,12,12,7929971
memcpyHtoD,1752.48,2138.16,8.40779e-045,0,17,0,28923632,13305080,13404120,35777912,30647704,1,1,7602291
_Z17maKernelFloodDownP6short2ii,390.304,414.021,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,467.136,485.572,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,24.32,38.679,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,468,486.263,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,592.352,606.876,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2563.36,3383.69,0,1730004344,0,3866627,0,34831336,13860864,29224880,13897056,12,12,6619256
memcpyHtoD,1730.88,2408.87,0,1730004344,0,34341189,30,13240136,13155664,13483576,35965616,1,1,4390912
_Z23_B1_maKernelCalEndPointP6short2ii,13624.1,13649.6,0.667,0,0,0,262144,0,0,1442934,204240,6369983,0,8192
_Z24_B2_maKernelCalInnerBandP6short2ii,720.096,975.204,0.417,0,0,0,0,0,0,16384,0,229386,0,8192
_Z17maKernelTransposeP6short2i,600.288,619.459,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2379.26,2833.96,2.52234e-044,4369,0,1730004244,34078804,30875408,13444352,34947968,13901192,12,12,6225998
