# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.672,814.345,1.13888e-037,11403856,35985032,11404552,11404432,11404264,11404144,11404024,11403904,35295232,35295112,29066352
_Z15kernelFloodDownP6short2ii,94.016,328.987,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.576,258.921,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,58.656,73.281,0.667,0,0,0,9280,0,0,3942,999,21461,0,64
_Z20kernelUpdateVerticalP6short2iii,123.488,142.639,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,157.984,173.421,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,470.72,486.642,0.667,29558,3800,0,27328,0,0,20117,734,189312,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,68.032,83.635,0.667,0,0,0,7852,0,0,8646,262,27987,0,64
_Z20_A3_kernelMergeBandsP6short2ii,87.424,103.01,0.5,8453,0,13356,2960,0,0,2734,195,27352,0,32
_Z20_A3_kernelMergeBandsP6short2ii,49.696,63.858,0.5,3771,0,6848,1296,0,0,1219,90,11966,0,16
_Z20_A3_kernelMergeBandsP6short2ii,28.576,43.079,0.5,2013,0,3414,704,0,0,676,49,6721,0,8
_Z20_A3_kernelMergeBandsP6short2ii,24.352,39.055,0.5,925,0,1830,320,0,0,343,28,3384,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.112,1472.89,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,460.32,483.626,0.667,0,0,262144,0,0,0,21509,1861,116400,105154,64
_Z15kernelTransposeP6short2i,159.488,178.468,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,517.696,1020.22,0,0,7143541,6750318,4390912,13337344,35696736,30671744,13439720,12,12,0
memcpyHtoD,395.968,807.343,8.40779e-045,0,7209061,6029427,5242947,30692168,35895720,29628376,30727528,1,1,0
_Z17maKernelFloodDownP6short2ii,107.712,128.546,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,119.776,138.227,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,58.752,73.26,0.667,0,0,0,9280,0,0,3942,999,21459,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.296,141.99,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.296,173.352,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,527.712,1614.62,0,1730004344,6881396,7602273,6619220,13473456,13256000,13445824,34761840,12,12,0
memcpyHtoD,396.032,602.121,0,264,6750318,7274601,6029400,13425000,30827336,13350976,30779088,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,2868.32,2891.66,0.667,0,0,0,16384,0,0,295616,32947,1183866,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,4347.55,4598.33,0.417,0,0,0,39980,32221,132892,299656,13081,1067195,0,512
_Z17maKernelTransposeP6short2i,161.824,180.684,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,526.08,1013.1,7.42688e-044,0,7536725,4390912,3211390,30819016,35327672,29750080,13469648,12,12,0
