# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.856,594.214,7.55871e-038,11404576,11404456,11404336,11404216,13884616,11404552,11404432,11404312,29204560,29204440,35807984
_Z15kernelFloodDownP6short2ii,95.84,138.065,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.704,142.345,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,42.944,59.347,0.667,0,0,0,2488,0,0,3010,336,14440,0,64
_Z20kernelUpdateVerticalP6short2iii,122.592,143.033,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.08,175.34,0.333,0,0,0,36864,0,0,832,0,34954,0,128
_Z25_A1_kernelProximatePointsP6short2ii,132.288,1701.45,0.667,551,364,0,6464,0,0,10196,35,45839,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,55.008,71.825,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.936,86.808,0.5,3211,0,2048,2844,0,0,1460,39,13596,0,32
_Z20_A3_kernelMergeBandsP6short2ii,42.272,56.06,0.5,2808,0,2546,1440,0,0,887,36,8938,0,16
_Z20_A3_kernelMergeBandsP6short2ii,25.056,39.034,0.5,1420,0,1528,704,0,0,520,30,5228,0,8
_Z20_A3_kernelMergeBandsP6short2ii,18.144,31.903,0.5,800,0,964,308,0,0,253,14,2546,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.824,124.062,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,455.04,474.032,0.667,0,0,262144,0,0,0,16683,547,85253,122159,64
_Z15kernelTransposeP6short2i,160.384,179.298,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,518.624,1009.61,0,384,0,0,18,0,0,0,0,12,12,7929971
memcpyHtoD,397.28,793.383,8.40779e-045,0,0,16,384,0,0,0,0,1,1,7602291
_Z17maKernelFloodDownP6short2ii,107.264,128.233,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.48,138.645,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,42.336,56.83,0.667,0,0,0,2488,0,0,3010,336,14442,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.208,140.691,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,156.8,171.34,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.728,1216.44,0,384,0,0,18,0,0,0,0,12,12,6619256
memcpyHtoD,397.792,640.016,0,0,0,16,384,0,0,0,0,1,1,4390912
_Z23_B1_maKernelCalEndPointP6short2ii,5355.07,5378.1,0.667,0,0,0,32768,0,0,521263,31035,2091978,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,360.416,605.769,0.417,0,0,0,0,5677,22708,5348,330,47510,0,1024
_Z17maKernelTransposeP6short2i,158.848,177.25,0.333,0,0,0,36864,0,0,832,0,34959,0,128
memcpyDtoH,517.824,1010.09,7.28675e-043,16,384,0,0,0,0,0,0,12,12,6225998
