# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1771.36,2150.66,1.47279e-037,11403856,11403984,11403864,38323960,11404328,11404208,11404088,11403968,38304456,38304336,38330952
_Z15kernelFloodDownP6short2ii,366.24,393.711,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,471.36,489.701,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,21.888,36.171,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,459.136,477.755,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,596.352,610.536,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2088.96,2103.12,0.667,79959,13985,0,131072,0,0,91182,8813,932535,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,431.936,446.207,0.667,0,0,0,131072,0,0,41071,7919,192518,0,128
_Z20_A3_kernelMergeBandsP6short2ii,96.288,109.969,0.5,1979,0,25420,2496,0,0,2944,224,27404,0,64
_Z20_A3_kernelMergeBandsP6short2ii,50.624,63.987,0.5,938,0,12624,1216,0,0,1454,109,13563,0,32
_Z20_A3_kernelMergeBandsP6short2ii,28.416,41.57,0.5,496,0,6280,592,0,0,730,55,6838,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.192,29.762,0.5,236,0,3246,316,0,0,374,29,3537,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,437.344,450.592,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1794.05,1812.97,0.667,0,0,0,131072,0,0,105079,15917,565012,0,8
_Z15kernelTransposeP6short2i,590.528,609.402,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2361.98,2872.24,0,0,0,0,41,0,0,0,0,12,12,384
memcpyHtoD,1942.4,2931.78,8.40779e-045,0,0,0,42,0,0,0,0,1,1,0
_Z17maKernelFloodDownP6short2ii,389.472,413.693,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,471.456,489.942,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,21.696,36.126,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.368,480.904,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,592,606.677,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2550.08,3374.89,0,1730004344,0,38322448,48,0,0,0,0,12,12,384
memcpyHtoD,1653.06,1948.34,0,264,0,11403640,49,0,0,0,0,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,3770.82,3945.31,0.667,0,0,0,131072,0,0,403942,39965,1819464,0,4096
_Z24_B2_maKernelCalInnerBandP6short2ii,1972.42,3401.44,0.417,0,0,0,0,114688,458752,48946,3993,347683,0,4096
_Z17maKernelTransposeP6short2i,602.368,802.399,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2396.99,3084.42,2.52234e-044,0,0,0,53,0,0,0,0,12,12,82
