# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.712,690.15,1.36617e-037,35295160,37793360,37793480,37801824,11404176,11404056,11403936,11403816,37303576,37428872,35830360
_Z15kernelFloodDownP6short2ii,95.616,121.563,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.056,139.223,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12.192,26.457,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z20kernelUpdateVerticalP6short2iii,120.608,138.961,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,156.768,171.511,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,571.616,592.118,0.667,25896,3234,0,32768,0,0,23261,2465,240650,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,112.64,127.509,0.667,0,0,0,32764,0,0,10304,1920,49171,0,64
_Z20_A3_kernelMergeBandsP6short2ii,55.072,69.157,0.5,1267,0,13420,1212,0,0,1598,133,14997,0,32
_Z20_A3_kernelMergeBandsP6short2ii,30.528,43.948,0.5,603,0,6638,536,0,0,772,62,7240,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.672,30.279,0.5,319,0,3318,296,0,0,410,35,3877,0,8
_Z20_A3_kernelMergeBandsP6short2ii,14.592,28.43,0.5,131,0,1472,164,0,0,208,18,1962,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.4,123.755,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1192.51,1211.41,0.667,0,0,262144,0,0,0,68880,14217,426440,97244,64
_Z15kernelTransposeP6short2i,158.848,177.403,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.952,981.592,0,0,0,1730004244,4288406529,0,261,1701433516,1730004344,12,12,0
memcpyHtoD,395.776,702.31,8.40779e-045,6,6,0,2147483650,1730004244,219,0,1730004344,1,1,1699481980
_Z17maKernelFloodDownP6short2ii,107.552,127.181,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.792,140.173,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12.064,25.834,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.864,139.048,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.68,174.092,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,518.624,1218.54,0,0,0,1730004344,3998778382,0,29260328,257,0,12,12,0
memcpyHtoD,395.488,627.775,0,0,0,0,0,0,50855984,215,0,1,1,18
_Z23_B1_maKernelCalEndPointP6short2ii,268.416,290.662,0.667,0,0,0,8192,0,0,27551,2957,123648,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,3089.95,3377.1,0.417,0,0,404,78464,125342,471080,263122,20848,1065978,23785,256
_Z17maKernelTransposeP6short2i,161.28,181.213,0.333,0,0,0,36864,0,0,832,0,34954,0,128
memcpyDtoH,517.952,1002.58,0,12,12,1597652224,4167803914,1730004344,35409136,0,227,12,12,3
