# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,398.08,623.544,1.35658e-037,36114072,36134832,37928600,37959192,37720192,37818168,37603808,35830360,37264376,37494504,37303816
_Z15kernelFloodDownP6short2ii,95.616,122.228,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.448,139.157,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,11.584,26.186,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z20kernelUpdateVerticalP6short2iii,120.768,139.163,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.008,173.045,0.333,0,0,0,36864,0,0,832,0,34957,0,128
_Z25_A1_kernelProximatePointsP6short2ii,511.776,526.687,0.667,6746,4703,0,32768,0,0,22187,1910,217446,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,113.152,127.379,0.667,0,0,0,32768,0,0,10292,1908,49159,0,64
_Z20_A3_kernelMergeBandsP6short2ii,43.968,58.345,0.5,599,0,11564,1408,0,0,1376,96,12810,0,32
_Z20_A3_kernelMergeBandsP6short2ii,26.208,39.473,0.5,283,0,5628,720,0,0,676,46,6291,0,16
_Z20_A3_kernelMergeBandsP6short2ii,13.152,26.695,0.5,159,0,2874,364,0,0,344,24,3231,0,8
_Z20_A3_kernelMergeBandsP6short2ii,10.56,24.252,0.5,71,0,1484,176,0,0,172,12,1620,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.56,124.525,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1330.56,1349.05,0.667,0,0,262144,0,0,0,76655,15794,480711,96868,64
_Z15kernelTransposeP6short2i,158.88,177.49,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.856,1027.95,0,0,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,397.088,696.391,8.40779e-045,0,6,6,0,6,0,6,6,1,1,6
_Z17maKernelFloodDownP6short2ii,108,127.861,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.536,140.005,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,11.552,25.558,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.352,138.766,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.728,172.72,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.728,1238.39,0,0,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,397.824,608.75,0,4294967294,0,0,4294967294,0,4294967294,0,0,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,213.6,236.133,0.667,0,0,0,8192,0,0,23708,1732,102004,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,2043.94,2296.22,0.417,0,0,0,32100,101087,267104,137115,6990,556456,8585,256
_Z17maKernelTransposeP6short2i,158.048,176.985,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,518.176,1011.11,0,0,12,12,0,12,0,12,12,12,12,12
