# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1734.05,2105.25,7.41535e-038,11403856,11404320,11404200,11404080,11403792,36424664,36424664,36424664,36242712,36242592,36249448
_Z15kernelFloodDownP6short2ii,364.096,391.921,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,471.296,489.638,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,21.824,35.843,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,461.248,479.87,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,595.616,610.247,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2089.89,2104.18,0.667,79959,13985,0,131072,0,0,91182,8813,932535,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,431.744,446.107,0.667,0,0,0,131072,0,0,41071,7919,192515,0,128
_Z20_A3_kernelMergeBandsP6short2ii,97.92,112.276,0.5,1979,0,25420,2496,0,0,2944,224,27404,0,64
_Z20_A3_kernelMergeBandsP6short2ii,52,65.536,0.5,938,0,12624,1216,0,0,1454,109,13560,0,32
_Z20_A3_kernelMergeBandsP6short2ii,28.48,42.291,0.5,496,0,6280,592,0,0,730,55,6837,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.192,29.579,0.5,236,0,3246,316,0,0,374,29,3535,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.8,450.092,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1792.64,1811.23,0.667,0,0,0,131072,0,0,105079,15917,565011,0,8
_Z15kernelTransposeP6short2i,596.288,614.686,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2344.86,2780.34,0,0,0,0,0,0,7143541,6750318,4390912,12,12,0
memcpyHtoD,1732.22,2111.6,8.40779e-045,0,0,0,0,0,7209061,6029427,5242947,1,1,0
_Z17maKernelFloodDownP6short2ii,391.552,414.784,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,472.8,491.244,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.528,36.532,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.048,480.246,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,596.48,610.56,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2605.95,3524.35,0,1730004344,0,0,0,0,6881396,7602273,6619220,12,12,0
memcpyHtoD,1701.95,2056.65,0,264,0,0,0,0,6750318,7274601,6029400,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,948.96,974.966,0.667,0,0,0,32768,0,0,101159,9999,455119,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,11138.3,11717.7,0.417,0,0,16,265012,487466,1703580,914898,66353,3714699,87245,1024
_Z17maKernelTransposeP6short2i,603.84,820.071,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2796.16,4148.65,9.60426e-010,0,0,0,0,0,7536725,4390912,3211390,12,12,0
