# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.448,593.971,1.21543e-037,11403824,11403976,11403856,35913904,35957240,35957240,35957240,11404584,36003880,37110288,35959064
_Z15kernelFloodDownP6short2ii,96.704,129.301,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.512,138.856,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,59.36,73.72,0.667,0,0,0,9280,0,0,3942,999,21461,0,64
_Z20kernelUpdateVerticalP6short2iii,123.04,141.256,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.784,173.262,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,469.952,484.624,0.667,29558,3800,0,27328,0,0,20117,734,189311,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,68.064,82.33,0.667,0,0,0,7852,0,0,8646,262,27994,0,64
_Z20_A3_kernelMergeBandsP6short2ii,87.584,101.846,0.5,8453,0,13356,2960,0,0,2734,195,27349,0,32
_Z20_A3_kernelMergeBandsP6short2ii,47.872,61.278,0.5,3771,0,6848,1296,0,0,1219,90,11968,0,16
_Z20_A3_kernelMergeBandsP6short2ii,28.992,42.929,0.5,2013,0,3414,704,0,0,676,49,6717,0,8
_Z20_A3_kernelMergeBandsP6short2ii,23.2,36.884,0.5,925,0,1830,320,0,0,343,28,3383,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.112,123.993,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,460.224,516.919,0.667,0,0,262144,0,0,0,21509,1861,116399,105949,64
_Z15kernelTransposeP6short2i,160.224,304.364,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,518.688,1116.39,0,0,1730004244,0,30420280,18,0,0,83,12,12,13712808
memcpyHtoD,395.488,714.559,8.40779e-045,0,0,0,13367544,384,0,0,18,1,1,30267576
_Z17maKernelFloodDownP6short2ii,105.152,124.733,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.792,140.549,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,59.232,73.169,0.667,0,0,0,9280,0,0,3942,999,21462,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.888,140.531,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,161.568,175.893,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,519.2,1247.36,0,0,61440,1730004344,30727528,18,0,0,79,12,12,34882352
memcpyHtoD,395.968,662.59,0,0,274608,264,13407760,384,0,0,18,1,1,29431456
_Z23_B1_maKernelCalEndPointP6short2ii,11559.7,11583.4,0.667,0,0,0,65536,0,0,1181044,131692,4730797,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,179.712,426.306,0.417,0,0,0,0,0,0,4096,0,57354,0,2048
_Z17maKernelTransposeP6short2i,158.112,176.708,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,518.24,1000.75,2.52234e-044,0,81,0,35437144,0,20,0,0,12,12,29087120
