# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1739.87,2097.83,1.92465e-038,30620888,34767464,35976864,28962224,13975768,14032392,13697272,13698048,28962656,28962104,13883712
_Z15kernelFloodDownP6short2ii,363.552,391.188,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,467.552,486.519,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,22.976,37.064,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,464.032,482.378,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,597.728,612.151,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2849.66,2864.35,0.667,272965,15825,0,131072,0,0,105734,15971,1258540,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.64,442.76,0.667,0,0,0,113848,0,0,40890,7738,189810,0,128
_Z20_A3_kernelMergeBandsP6short2ii,153.824,169.039,0.5,6544,0,34472,2520,0,0,4623,496,43920,0,64
_Z20_A3_kernelMergeBandsP6short2ii,81.248,94.935,0.5,3474,0,17622,1160,0,0,2281,245,21584,0,32
_Z20_A3_kernelMergeBandsP6short2ii,51.008,64.511,0.5,1680,0,8628,632,0,0,1172,125,11218,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.32,37.416,0.5,773,0,4226,308,0,0,577,62,5499,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.424,448.977,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1566.37,1584.9,0.667,0,0,0,131072,0,0,91632,11433,484322,0,8
_Z15kernelTransposeP6short2i,597.984,616.431,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2385.76,2840.02,0,0,0,0,0,0,2097260,595,7471215,12,12,1150010548
memcpyHtoD,1836.06,2227.05,8.40779e-045,6,6,0,6,6,7471184,147,6357111,1,1,1143861592
_Z17maKernelFloodDownP6short2ii,390.464,413.888,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,467.872,488.056,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,23.968,39.115,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,463.328,483.316,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,596.928,612.461,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2573.06,3385.12,0,0,0,0,0,0,6619219,153,3539024,12,12,1151017992
memcpyHtoD,1669.63,1979.64,0,0,0,4294967294,0,0,7536755,596,6815859,1,1,1142756950
_Z23_B1_maKernelCalEndPointP6short2ii,216.032,243.048,0.667,0,0,0,4096,0,0,22578,3183,99065,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,29428.4,29683.4,0.417,0,0,587854,439816,786289,4406892,2810175,268255,11086779,476662,128
_Z17maKernelTransposeP6short2i,596.8,618.181,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2388.58,2844.31,0,1730004244,40173683,0,0,12,0,601,0,12,12,1149065462
