# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.768,659.309,1.12387e-037,35985440,14018200,37200184,35809816,37297064,37310200,37296944,37296824,37310800,37300040,37296704
_Z15kernelFloodDownP6short2ii,95.36,121.635,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.32,138.669,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,27.68,41.988,0.667,0,0,0,3692,0,0,1738,554,9870,0,64
_Z20kernelUpdateVerticalP6short2iii,121.472,139.975,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.048,173.211,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,698.784,713.798,0.667,71564,3728,0,32768,0,0,25822,3434,296123,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,101.888,116.486,0.667,0,0,0,20192,0,0,9849,1465,43073,0,64
_Z20_A3_kernelMergeBandsP6short2ii,96.064,110.321,0.5,4938,0,18752,1572,0,0,2629,277,25335,0,32
_Z20_A3_kernelMergeBandsP6short2ii,53.248,66.399,0.5,2359,0,8836,728,0,0,1193,127,11352,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.96,38.715,0.5,1111,0,4412,336,0,0,649,74,6204,0,8
_Z20_A3_kernelMergeBandsP6short2ii,21.792,35.645,0.5,666,0,2380,176,0,0,326,34,3157,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.4,124.363,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,614.336,632.993,0.667,0,0,262144,0,0,0,35137,5648,203842,94957,64
_Z15kernelTransposeP6short2i,158.56,177.12,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.568,1083.83,0,0,0,0,0,18,12,12,0,12,12,2097153
memcpyHtoD,395.488,692.394,8.40779e-045,0,6,6,0,384,1,1,0,1,1,2147483650
_Z17maKernelFloodDownP6short2ii,108.032,127.31,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.416,138.763,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,28.576,42.508,0.667,0,0,0,3692,0,0,1738,554,9873,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.984,140.657,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.016,172.525,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,538.464,1363.38,0,0,0,0,0,18,12,12,0,12,12,6619219
memcpyHtoD,397.856,619.119,0,4294967294,0,0,4294967294,384,1,1,0,1,1,7536755
_Z23_B1_maKernelCalEndPointP6short2ii,299.424,323.336,0.667,0,0,0,4096,0,0,31493,4471,134958,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,6657.63,6906.37,0.417,0,0,59490,130304,120659,569312,655602,58975,2521021,37584,128
_Z17maKernelTransposeP6short2i,159.2,178.287,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.632,1030.74,8.82818e-044,0,12,12,0,0,12,12,0,12,12,0
