# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1651.46,1969.08,1.24313e-037,38451664,38449728,38478784,38330952,37599040,36249448,36242952,36424744,36376448,35367432,13689904
_Z15kernelFloodDownP6short2ii,364.352,390.697,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,471.744,490.396,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.36,33.525,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,462.88,481.488,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,598.688,613.104,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1791.26,1805.48,0.667,1010,15362,0,131072,0,0,85554,5977,805498,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,430.016,444.279,0.667,0,0,0,131072,0,0,39129,5977,190576,0,128
_Z20_A3_kernelMergeBandsP6short2ii,65.6,79.202,0.5,344,0,12300,3532,0,0,2482,147,22886,0,64
_Z20_A3_kernelMergeBandsP6short2ii,35.872,49.9,0.5,186,0,6284,1820,0,0,1232,72,11351,0,32
_Z20_A3_kernelMergeBandsP6short2ii,22.336,36.057,0.5,85,0,2948,908,0,0,640,40,5953,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.328,24.331,0.5,32,0,1222,468,0,0,278,13,2552,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.448,450.014,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1303.17,1321.97,0.667,0,0,0,131072,0,0,81604,6827,433636,0,8
_Z15kernelTransposeP6short2i,593.952,612.302,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2324.32,2789.63,0,1158882787,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,1722.5,2092.73,8.40779e-045,1158813581,0,6,6,6,6,0,6,1,1,6
_Z17maKernelFloodDownP6short2ii,390.592,413.951,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,471.84,491.087,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,18.848,33.067,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.336,536.705,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,593.344,640.437,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2593.54,3407.37,0,1159880114,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,1663.65,1964.62,0,1154448359,4294967294,0,0,0,0,4294967294,0,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,391.36,417.921,0.667,0,0,0,16384,0,0,42595,2391,182005,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,7048.61,7629.43,0.417,0,0,0,115276,416696,978936,459253,17025,1856721,797,512
_Z17maKernelTransposeP6short2i,597.664,616.566,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2415.07,2879.05,2361.6,1160668774,0,12,12,12,12,0,12,12,12,12
