# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.32,601.21,1.19322e-037,30206576,35630240,35959064,29787232,35229760,30772784,35231800,13697152,35831816,37392560,36564080
_Z15kernelFloodDownP6short2ii,94.912,122.609,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.352,138.501,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,27.936,43.155,0.667,0,0,0,3692,0,0,1738,554,9872,0,64
_Z20kernelUpdateVerticalP6short2iii,125.056,144.769,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,160.32,175.358,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,699.296,714.349,0.667,71564,3728,0,32768,0,0,25822,3434,296128,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,104.416,237.378,0.667,0,0,0,20192,0,0,9849,1465,43076,0,64
_Z20_A3_kernelMergeBandsP6short2ii,94.88,110.143,0.5,4938,0,18752,1572,0,0,2629,277,25337,0,32
_Z20_A3_kernelMergeBandsP6short2ii,53.824,68.008,0.5,2359,0,8836,728,0,0,1193,127,11351,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.704,39.344,0.5,1111,0,4412,336,0,0,649,74,6201,0,8
_Z20_A3_kernelMergeBandsP6short2ii,21.152,36.111,0.5,666,0,2380,176,0,0,326,34,3154,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.528,419.843,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,608.512,799.133,0.667,0,0,262144,0,0,0,35137,5648,203843,94990,64
_Z15kernelTransposeP6short2i,158.016,177.809,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,519.424,1018.76,0,0,0,0,0,12,12,1152171540,7471215,12,12,12
memcpyHtoD,396.096,795.506,8.40779e-045,0,6,6,0,1,1,1147635007,6357111,1,1,1
_Z17maKernelFloodDownP6short2ii,106.56,127.491,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.064,138.964,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,28.544,42.866,0.667,0,0,0,3692,0,0,1738,554,9873,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.408,139.794,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.616,174.426,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.696,1226.63,0,0,0,0,0,12,12,1151065129,3539024,12,12,12
memcpyHtoD,395.744,608.329,0,4294967294,0,0,4294967294,1,1,1142517580,6815859,1,1,1
_Z23_B1_maKernelCalEndPointP6short2ii,163.488,186.095,0.667,0,0,0,2048,0,0,15387,2164,65811,0,64
_Z24_B2_maKernelCalInnerBandP6short2ii,8061.5,8312.74,0.417,0,0,99776,134632,146076,759240,765668,73219,2951421,69381,64
_Z17maKernelTransposeP6short2i,157.408,177.436,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,519.936,995.697,0,0,12,12,0,12,12,1149073981,0,12,12,12
