# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1745.38,2106.86,1.40902e-037,38043464,38056928,38040824,37303816,37241208,36430448,36374120,36376448,36164104,36244512,37128704
_Z15kernelFloodDownP6short2ii,367.328,394.709,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,473.056,492.209,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,22.528,36.809,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,462.016,480.504,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,596.288,610.843,0.333,0,0,0,139264,0,0,3200,0,127248,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2083.26,2097.34,0.667,79959,13985,0,131072,0,0,91182,8813,932534,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,433.024,446.959,0.667,0,0,0,131072,0,0,41071,7919,192514,0,128
_Z20_A3_kernelMergeBandsP6short2ii,94.016,108.417,0.5,1979,0,25420,2496,0,0,2944,224,27404,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.136,64.875,0.5,938,0,12624,1216,0,0,1454,109,13564,0,32
_Z20_A3_kernelMergeBandsP6short2ii,28.096,41.479,0.5,496,0,6280,592,0,0,730,55,6830,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.384,29.732,0.5,236,0,3246,316,0,0,374,29,3538,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.168,448.547,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1796.29,1814.87,0.667,0,0,0,131072,0,0,105079,15917,565014,0,8
_Z15kernelTransposeP6short2i,597.248,825.557,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2398.21,2879.11,0,1140991721,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,1753.98,2140.19,8.40779e-045,1137044357,0,6,6,6,6,0,6,1,1,6
_Z17maKernelFloodDownP6short2ii,389.728,414.339,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,467.968,623.183,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.08,49.783,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.016,480.453,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,601.76,616.277,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2563.42,3371.77,0,1141719958,0,0,0,0,0,0,0,12,12,0
memcpyHtoD,1698.02,2056.93,0,1137041211,4294967294,0,0,0,0,4294967294,0,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,482.592,509.529,0.667,0,0,0,16384,0,0,50743,5037,228391,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,15102.8,15732.4,0.417,0,0,98708,343272,654276,2495760,1290598,94374,5190541,192789,512
_Z17maKernelTransposeP6short2i,596.608,736.048,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2596.16,3483.46,0,1141025276,0,12,12,12,12,0,12,12,12,12
