# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,2307.14,2668.84,1.34968e-037,36126960,36126840,36127344,37491072,36140472,37959192,37260688,37266896,37928600,37685104,13689904
_Z15kernelFloodDownP6short2ii,363.552,390.502,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,471.392,489.584,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,22.848,37.239,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,464.384,482.507,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,595.744,610.575,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2051.49,2184.17,0.667,79959,13985,0,131072,0,0,91182,8813,932537,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,433.152,448.947,0.667,0,0,0,131072,0,0,41071,7919,192515,0,128
_Z20_A3_kernelMergeBandsP6short2ii,96.704,111.154,0.5,1979,0,25420,2496,0,0,2944,224,27407,0,64
_Z20_A3_kernelMergeBandsP6short2ii,49.92,63.87,0.5,938,0,12624,1216,0,0,1454,109,13562,0,32
_Z20_A3_kernelMergeBandsP6short2ii,29.216,42.37,0.5,496,0,6280,592,0,0,730,55,6835,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.256,29.464,0.5,236,0,3246,316,0,0,374,29,3535,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,434.624,447.987,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1795.07,1814.06,0.667,0,0,0,131072,0,0,105079,15917,565015,0,8
_Z15kernelTransposeP6short2i,594.624,613.67,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2354.37,2792.54,0,1149274456,1140953448,0,12,0,0,7471215,12,12,12,0
memcpyHtoD,2337.47,2844.92,8.40779e-045,1144239538,1137109369,6,1,6,0,6357111,1,1,1,6
_Z17maKernelFloodDownP6short2ii,394.208,418.55,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,470.048,488.615,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.016,36.706,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,462.912,481.545,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,597.184,611.953,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2597.86,3411.37,0,1150988894,1140947157,0,12,0,0,3539024,12,12,12,0
memcpyHtoD,1659.87,2013.7,0,1142230450,1137069523,0,1,0,4294967294,6815859,1,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,129.376,156.161,0.667,0,0,0,4096,0,0,12799,1269,57308,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,22136.6,22716.9,0.417,0,0,453140,370136,918050,4343132,1901497,140247,7602841,489941,128
_Z17maKernelTransposeP6short2i,601.76,740.631,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2790.4,3396.84,0,1148988539,1140948206,12,12,12,0,0,12,12,12,12
