# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.408,596.891,6.98058e-038,34953888,30141232,30036360,30857640,13998496,29829760,30798944,30950616,13788688,13805832,13689904
_Z15kernelFloodDownP6short2ii,95.744,122.757,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.48,138.928,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,43.36,57.566,0.667,0,0,0,2488,0,0,3010,336,14441,0,64
_Z20kernelUpdateVerticalP6short2iii,122.976,141.623,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.04,173.147,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,131.04,145.382,0.667,551,364,0,6464,0,0,10196,35,45836,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,55.072,69.371,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.072,64.995,0.5,3211,0,2048,2844,0,0,1460,39,13590,0,32
_Z20_A3_kernelMergeBandsP6short2ii,41.344,54.628,0.5,2808,0,2546,1440,0,0,887,36,8947,0,16
_Z20_A3_kernelMergeBandsP6short2ii,25.024,38.7,0.5,1420,0,1528,704,0,0,520,30,5225,0,8
_Z20_A3_kernelMergeBandsP6short2ii,17.952,31.955,0.5,800,0,964,308,0,0,253,14,2544,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.624,124.215,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,455.904,474.628,0.667,0,0,262144,0,0,0,16683,547,85253,121527,64
_Z15kernelTransposeP6short2i,160.224,178.88,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,555.776,1381.94,0,0,0,0,595,0,1160834363,1160834363,1158967722,12,12,7471215
memcpyHtoD,395.776,926.082,8.40779e-045,0,6,6,147,6,1158161625,1158161625,1155554345,1,1,6357111
_Z17maKernelFloodDownP6short2ii,107.296,357.726,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,122.784,261.258,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,42.88,57.344,0.667,0,0,0,2488,0,0,3010,336,14442,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.84,288.785,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.08,174.726,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,518.144,1246.88,0,0,304,0,153,0,1163584262,1163584262,1159881818,12,12,3539024
memcpyHtoD,395.936,613.739,0,4294967294,13,0,596,0,1156425212,1156425212,1154271412,1,1,6815859
_Z23_B1_maKernelCalEndPointP6short2ii,373.12,395.777,0.667,0,0,0,2048,0,0,32930,1915,131465,0,64
_Z24_B2_maKernelCalInnerBandP6short2ii,5575.49,5824.08,0.417,0,0,26998,75808,23128,73876,208210,10040,769722,9705,64
_Z17maKernelTransposeP6short2i,157.728,176.687,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.632,1013.91,0,0,0,0,601,0,1160955146,1160955146,1159063536,12,12,0
