# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1743.74,2106.06,1.08593e-037,11403976,11403856,11404216,11404096,11404552,11404432,11404312,11404192,35583528,35583408,34849808
_Z15kernelFloodDownP6short2ii,365.248,392.529,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,470.176,488.657,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,24.16,38.658,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,466.176,485.142,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,594.592,609.595,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2853.06,2867.16,0.667,272965,15825,0,131072,0,0,105734,15971,1258542,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,427.36,441.59,0.667,0,0,0,113848,0,0,40890,7738,189816,0,128
_Z20_A3_kernelMergeBandsP6short2ii,153.888,167.791,0.5,6544,0,34472,2520,0,0,4623,496,43928,0,64
_Z20_A3_kernelMergeBandsP6short2ii,81.44,95.088,0.5,3474,0,17622,1160,0,0,2281,245,21590,0,32
_Z20_A3_kernelMergeBandsP6short2ii,50.752,64.601,0.5,1680,0,8628,632,0,0,1172,125,11218,0,16
_Z20_A3_kernelMergeBandsP6short2ii,23.872,38.051,0.5,773,0,4226,308,0,0,577,62,5498,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.04,448.655,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1560.99,1579.56,0.667,0,0,0,131072,0,0,91632,11433,484319,0,8
_Z15kernelTransposeP6short2i,597.6,616.139,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2366.5,2816.6,0,1730004244,0,0,1730004344,29487744,30645616,29254864,29213696,12,12,29928312
memcpyHtoD,1736.26,2118.42,8.40779e-045,0,0,0,35192835,13363936,13409360,28983712,13463112,1,1,30168536
_Z17maKernelFloodDownP6short2ii,390.4,414.324,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,472.928,491.145,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.912,37.004,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,463.584,482.065,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,593.632,607.718,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2553.38,3367.65,0,61440,1730004344,65535,35389485,13484584,30896160,13208392,13306408,12,12,13364296
memcpyHtoD,1678.69,2007.39,0,274608,264,0,34078728,13354680,29479568,35519232,13240424,1,1,35946296
_Z23_B1_maKernelCalEndPointP6short2ii,6698.05,6724.48,0.667,0,0,0,131072,0,0,721569,102120,3185004,0,4096
_Z24_B2_maKernelCalInnerBandP6short2ii,1952.93,2207.85,0.417,0,0,0,0,114072,456288,49152,4096,348203,0,4096
_Z17maKernelTransposeP6short2i,597.024,616.5,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2390.14,2852.41,7.42688e-044,81,0,0,30662976,30534240,35838784,30812736,30692168,12,12,29232440
