# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.552,593.026,1.12444e-037,11403856,36563048,11404552,11404432,36560792,36560792,36560792,11404544,35266416,35266296,35243512
_Z15kernelFloodDownP6short2ii,94.4,121.145,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,119.424,137.629,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,42.72,57.197,0.667,0,0,0,2488,0,0,3010,336,14439,0,64
_Z20kernelUpdateVerticalP6short2iii,123.744,142.017,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.616,173.914,0.333,0,0,0,36864,0,0,832,0,34952,0,128
_Z25_A1_kernelProximatePointsP6short2ii,131.648,145.761,0.667,551,364,0,6464,0,0,10196,35,45837,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,54.752,68.67,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.072,65.335,0.5,3211,0,2048,2844,0,0,1460,39,13589,0,32
_Z20_A3_kernelMergeBandsP6short2ii,41.344,55.296,0.5,2808,0,2546,1440,0,0,887,36,8941,0,16
_Z20_A3_kernelMergeBandsP6short2ii,25.312,39.137,0.5,1420,0,1528,704,0,0,520,30,5230,0,8
_Z20_A3_kernelMergeBandsP6short2ii,17.92,31.416,0.5,800,0,964,308,0,0,253,14,2543,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.816,124.886,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,459.456,477.695,0.667,0,0,262144,0,0,0,16683,547,85253,119064,64
_Z15kernelTransposeP6short2i,158.272,176.847,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,517.76,1125.65,0,0,13258688,13155664,13443368,13155664,13443368,13209392,13791992,12,12,0
memcpyHtoD,396.896,698.307,8.40779e-045,0,13320552,30853816,13156752,30853816,13156752,13485704,13397120,1,1,0
_Z17maKernelFloodDownP6short2ii,107.264,126.871,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.896,139.71,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,43.168,57.206,0.667,0,0,0,2488,0,0,3010,336,14442,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.136,141.503,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.336,172.829,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.792,1254.74,0,1730004344,30409392,13323728,13409360,13323728,13409360,35932656,13332176,12,12,0
memcpyHtoD,399.136,697.633,0,264,13563888,29069160,13336160,29069160,13336160,29285800,34974928,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,10928.2,10951.7,0.667,0,0,0,65536,0,0,1042486,62070,4183982,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,180.192,428.622,0.417,0,0,0,0,0,0,4096,0,57354,0,2048
_Z17maKernelTransposeP6short2i,159.552,178.35,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.792,1115.95,0,0,13485544,30635256,29707416,30635256,29707416,35033632,13240424,12,12,0
