# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.904,624.515,1.22856e-037,11403912,11403792,36133872,36133872,11404480,11404360,11404240,11404120,36113832,36113712,36140472
_Z15kernelFloodDownP6short2ii,96.896,126.237,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.728,139.851,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12.224,26.652,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z20kernelUpdateVerticalP6short2iii,119.776,138.414,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.328,174.371,0.333,0,0,0,36864,0,0,832,0,34953,0,128
_Z25_A1_kernelProximatePointsP6short2ii,572.64,587.64,0.667,25896,3234,0,32768,0,0,23261,2465,240655,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,113.152,127.319,0.667,0,0,0,32764,0,0,10304,1920,49169,0,64
_Z20_A3_kernelMergeBandsP6short2ii,55.808,70.799,0.5,1267,0,13420,1212,0,0,1598,133,14993,0,32
_Z20_A3_kernelMergeBandsP6short2ii,30.08,44.162,0.5,603,0,6638,536,0,0,772,62,7234,0,16
_Z20_A3_kernelMergeBandsP6short2ii,17.44,31.016,0.5,319,0,3318,296,0,0,410,35,3875,0,8
_Z20_A3_kernelMergeBandsP6short2ii,14.592,32.803,0.5,131,0,1472,164,0,0,208,18,1961,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.952,123.325,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1185.98,1204.61,0.667,0,0,262144,0,0,0,68880,14217,426442,97278,64
_Z15kernelTransposeP6short2i,157.536,176.278,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.664,1008.03,0,0,0,37821224,30650712,0,0,0,0,12,12,0
memcpyHtoD,395.744,720.216,8.40779e-045,0,0,30730008,35426304,0,0,0,0,1,1,88
_Z17maKernelFloodDownP6short2ii,109.376,129.764,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,119.328,137.948,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12.64,27.07,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z22maKernelUpdateVerticalP6short2iii,119.872,138.685,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,156.736,170.931,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.696,1230.19,0,0,0,13409232,36021200,0,0,0,0,12,12,0
memcpyHtoD,395.52,598.62,0,0,0,37823312,30178528,0,0,0,0,1,1,81
_Z23_B1_maKernelCalEndPointP6short2ii,2079.3,2102.07,0.667,0,0,0,65536,0,0,219595,23592,986949,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,181.152,750.544,0.417,0,0,0,0,0,0,4096,0,57354,0,2048
_Z17maKernelTransposeP6short2i,158.272,177.223,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.856,1041.65,7.42688e-044,0,0,13423688,35719128,0,0,0,0,12,12,0
