# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.712,640.328,1.43092e-037,11403856,37958304,11404552,11404432,11403912,11403792,37925376,37925376,37958952,37958832,37928600
_Z15kernelFloodDownP6short2ii,95.968,122.378,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,122.528,141.115,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12,26.439,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z20kernelUpdateVerticalP6short2iii,119.648,138.131,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.072,174.269,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,569.184,584.004,0.667,25896,3234,0,32768,0,0,23261,2465,240656,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,113.184,127.623,0.667,0,0,0,32764,0,0,10304,1920,49169,0,64
_Z20_A3_kernelMergeBandsP6short2ii,55.904,69.966,0.5,1267,0,13420,1212,0,0,1598,133,14993,0,32
_Z20_A3_kernelMergeBandsP6short2ii,30.624,43.57,0.5,603,0,6638,536,0,0,772,62,7229,0,16
_Z20_A3_kernelMergeBandsP6short2ii,17.632,31.485,0.5,319,0,3318,296,0,0,410,35,3876,0,8
_Z20_A3_kernelMergeBandsP6short2ii,14.688,28.159,0.5,131,0,1472,164,0,0,208,18,1959,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.952,123.443,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1185.57,1203.92,0.667,0,0,262144,0,0,0,68880,14217,426440,97375,64
_Z15kernelTransposeP6short2i,156.448,175.259,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.824,1002.65,0,0,5111900,6029427,4391004,13138672,50331648,4294967295,0,12,12,35197664
memcpyHtoD,396.16,699.675,8.40779e-045,0,4784214,5636174,6619220,30566696,11403728,4294967295,0,1,1,37697840
_Z17maKernelFloodDownP6short2ii,110.016,129.701,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.344,139.857,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12.352,33.287,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z22maKernelUpdateVerticalP6short2iii,119.776,138.435,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,161.184,175.484,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,523.648,1238.21,0,1730004344,7340141,6357106,6488156,13487168,0,4294967295,0,12,12,13426056
memcpyHtoD,395.584,594.954,0,264,7602293,6881396,7602275,30818280,0,4294967295,0,1,1,13340488
_Z23_B1_maKernelCalEndPointP6short2ii,1038.85,1061.8,0.667,0,0,0,32768,0,0,109790,11796,493512,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,500.128,749.326,0.417,0,0,0,0,28672,114688,12278,1019,87053,0,1024
_Z17maKernelTransposeP6short2i,159.68,178.594,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.92,1002.68,0,0,7077999,5767283,6029370,29479016,0,15,0,12,12,37427744
