# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.576,606.891,1.25658e-037,11404288,11404168,11404048,11403928,11403936,11403816,36434552,36434552,36373880,36373760,36430448
_Z15kernelFloodDownP6short2ii,96.448,128.378,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.792,140.291,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12.032,26.923,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z20kernelUpdateVerticalP6short2iii,120.544,138.913,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,157.952,172.777,0.333,0,0,0,36864,0,0,832,0,34957,0,128
_Z25_A1_kernelProximatePointsP6short2ii,509.472,523.872,0.667,6746,4703,0,32768,0,0,22187,1910,217446,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,112.96,127.055,0.667,0,0,0,32768,0,0,10292,1908,49160,0,64
_Z20_A3_kernelMergeBandsP6short2ii,42.976,56.815,0.5,599,0,11564,1408,0,0,1376,96,12802,0,32
_Z20_A3_kernelMergeBandsP6short2ii,25.792,39.269,0.5,283,0,5628,720,0,0,676,46,6296,0,16
_Z20_A3_kernelMergeBandsP6short2ii,13.664,27.525,0.5,159,0,2874,364,0,0,344,24,3227,0,8
_Z20_A3_kernelMergeBandsP6short2ii,10.72,24.577,0.5,71,0,1484,176,0,0,172,12,1621,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.208,123.987,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1331.42,1349.88,0.667,0,0,262144,0,0,0,76655,15794,480711,97261,64
_Z15kernelTransposeP6short2i,157.664,176.119,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,517.856,1012.67,0,0,0,0,0,0,0,7143541,6750318,12,12,0
memcpyHtoD,397.408,697.874,8.40779e-045,0,0,0,0,0,0,7209061,6029427,1,1,0
_Z17maKernelFloodDownP6short2ii,107.744,127.452,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.92,140.474,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,11.776,25.705,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.032,138.348,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.344,171.698,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.696,1249.38,0,0,0,0,0,0,0,6881396,7602273,12,12,0
memcpyHtoD,395.904,604.993,0,0,0,0,0,0,0,6750318,7274601,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,1657.76,1680.12,0.667,0,0,0,65536,0,0,189832,13784,815851,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,180.992,690.701,0.417,0,0,0,0,0,0,4096,0,57354,0,2048
_Z17maKernelTransposeP6short2i,156.768,175.487,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.824,1010.94,7.42688e-044,0,0,0,0,0,0,7536725,4390912,12,12,0
