# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1677.09,2021.94,1.49128e-037,11403832,11403832,11403832,11403832,11403832,11403832,11403832,11403832,38547936,38422192,36061048
_Z15kernelFloodDownP6short2ii,364.608,391.404,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,468.128,486.351,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.392,33.66,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,462.08,480.573,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,596.704,611.462,0.333,0,0,0,139264,0,0,3200,0,127246,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1789.63,1803.82,0.667,1010,15362,0,131072,0,0,85554,5977,805503,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,429.6,443.488,0.667,0,0,0,131072,0,0,39129,5977,190576,0,128
_Z20_A3_kernelMergeBandsP6short2ii,66.56,80.375,0.5,344,0,12300,3532,0,0,2482,147,22889,0,64
_Z20_A3_kernelMergeBandsP6short2ii,36.064,49.308,0.5,186,0,6284,1820,0,0,1232,72,11351,0,32
_Z20_A3_kernelMergeBandsP6short2ii,21.792,35.567,0.5,85,0,2948,908,0,0,640,40,5956,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.488,25.431,0.5,32,0,1222,468,0,0,278,13,2556,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.2,449.422,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1301.82,1320.52,0.667,0,0,0,131072,0,0,81604,6827,433635,0,8
_Z15kernelTransposeP6short2i,594.336,612.674,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2324.06,2763.66,0,1730004244,1730004244,1730004244,1730004244,1730004244,0,1730004244,0,12,12,1730004244
memcpyHtoD,1748.67,2123.84,8.40779e-045,1730004244,1730004244,1730004244,1730004244,1730004244,589827,196623,196623,1,1,1730004244
_Z17maKernelFloodDownP6short2ii,388.448,412.159,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,471.328,490.119,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,19.424,33.741,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,464.48,482.7,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,596.448,611.002,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2561.47,3373.59,0,1730004244,1730004244,1730004244,1730004244,1730004244,786435,196611,196620,12,12,1730004244
memcpyHtoD,1948.35,2386.68,0,1730004244,1730004244,1730004244,1730004244,1730004244,50855982,51118358,51118225,1,1,1730004244
_Z23_B1_maKernelCalEndPointP6short2ii,1542.34,1570.96,0.667,0,0,0,65536,0,0,170943,9651,730223,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,5007.01,5627.4,0.417,0,0,0,65676,286720,754168,278990,9674,1197329,0,2048
_Z17maKernelTransposeP6short2i,598.528,618.034,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2389.15,2856.02,2418.4,1730004244,1730004244,1730004244,1730004244,1730004244,0,0,0,12,12,1730004244
