# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1716.06,2070.25,1.08076e-037,11403872,29323032,11404552,11404432,35558872,35558872,11404560,11404440,35809456,29324200,14080688
_Z15kernelFloodDownP6short2ii,365.184,392.457,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.632,488.047,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,23.36,37.293,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,464.384,482.946,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,597.376,612.422,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2847.68,2862.09,0.667,272965,15825,0,131072,0,0,105734,15971,1258544,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.8,443.016,0.667,0,0,0,113848,0,0,40890,7738,189813,0,128
_Z20_A3_kernelMergeBandsP6short2ii,156.608,170.266,0.5,6544,0,34472,2520,0,0,4623,496,43921,0,64
_Z20_A3_kernelMergeBandsP6short2ii,80.192,93.882,0.5,3474,0,17622,1160,0,0,2281,245,21588,0,32
_Z20_A3_kernelMergeBandsP6short2ii,50.432,64.258,0.5,1680,0,8628,632,0,0,1172,125,11212,0,16
_Z20_A3_kernelMergeBandsP6short2ii,23.84,37.245,0.5,773,0,4226,308,0,0,577,62,5497,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.384,450.399,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1565.34,1584.57,0.667,0,0,0,131072,0,0,91632,11433,484319,0,8
_Z15kernelTransposeP6short2i,593.44,612.512,0.333,0,0,0,139264,0,0,3200,0,127246,0,512
memcpyDtoH,2366.56,2815.25,0,0,13316424,13444352,13336160,13336160,29256936,13337344,29507632,12,12,0
memcpyHtoD,1787.46,2172.1,8.40779e-045,0,13258688,29487744,13481536,13481536,13256848,35796648,35242056,1,1,0
_Z17maKernelFloodDownP6short2ii,381.056,404.601,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,470.976,489.244,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,23.776,38.231,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,466.08,492.489,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,595.008,609.571,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2558.14,3375.35,0,0,30875408,13484584,13379480,13379480,13345536,13926064,13256000,12,12,0
memcpyHtoD,1671.58,1952.24,0,0,13563888,13354680,35838784,35838784,29041480,13209520,30827336,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,3317.76,3344.93,0.667,0,0,0,65536,0,0,361023,51107,1593030,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,8398.82,8658.76,0.417,0,0,0,232852,263494,1048008,707502,80271,2863665,0,2048
_Z17maKernelTransposeP6short2i,596.544,615.769,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2410.66,2875.85,7.42688e-044,0,13476272,30534240,30107464,30107464,30345704,30819016,30168536,12,12,0
