# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1673.09,2007.33,1.25334e-037,35959064,35630240,30206576,34954088,37297488,37734576,37296824,37599040,35630592,34798656,35886904
_Z15kernelFloodDownP6short2ii,363.136,390.321,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,470.304,489.118,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,23.2,38.216,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,464.032,482.354,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,600.544,615.273,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2084.67,2099.01,0.667,79959,13985,0,131072,0,0,91182,8813,932535,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,432.448,446.45,0.667,0,0,0,131072,0,0,41071,7919,192516,0,128
_Z20_A3_kernelMergeBandsP6short2ii,95.232,109.392,0.5,1979,0,25420,2496,0,0,2944,224,27408,0,64
_Z20_A3_kernelMergeBandsP6short2ii,52.224,65.882,0.5,938,0,12624,1216,0,0,1454,109,13559,0,32
_Z20_A3_kernelMergeBandsP6short2ii,29.056,42.502,0.5,496,0,6280,592,0,0,730,55,6839,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.768,30.61,0.5,236,0,3246,316,0,0,374,29,3535,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,435.04,448.862,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1793.73,1812.71,0.667,0,0,0,131072,0,0,105079,15917,565011,0,8
_Z15kernelTransposeP6short2i,597.632,615.895,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2697.6,3162.6,0,7471215,0,0,0,0,12,12,12,12,12,1148983017
memcpyHtoD,1758.75,2153.08,8.40779e-045,6357111,0,6,6,1730004244,1,1,1,1,1,1143835279
_Z17maKernelFloodDownP6short2ii,389.216,413.861,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,469.92,488.594,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.208,36.108,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,458.432,476.811,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,591.136,605.902,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2553.86,3366.28,0,3539024,0,0,0,0,12,12,12,12,12,1150969750
memcpyHtoD,1928.22,2415.48,0,6815859,4294967294,0,0,0,1,1,1,1,1,1142300770
_Z23_B1_maKernelCalEndPointP6short2ii,246.048,272.124,0.667,0,0,0,8192,0,0,25472,2524,114409,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,19010.2,19581,0.417,0,0,252632,387060,798651,3406268,1652242,121193,6618824,319727,256
_Z17maKernelTransposeP6short2i,603.744,754.261,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2772.77,3677.72,1544,0,0,12,12,1730004344,12,12,12,12,12,1149185491
