# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1666.11,2000.36,1.5073e-037,11403784,11403784,11403784,11403784,11403792,11403792,11403792,11403792,37762912,36482088,37969424
_Z15kernelFloodDownP6short2ii,364.032,390.523,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.856,488.095,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.2,33.549,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,463.168,482.017,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,594.848,609.297,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1788.77,1803.57,0.667,1010,15362,0,131072,0,0,85554,5977,805500,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,429.312,443.584,0.667,0,0,0,131072,0,0,39129,5977,190573,0,128
_Z20_A3_kernelMergeBandsP6short2ii,65.376,79.629,0.5,344,0,12300,3532,0,0,2482,147,22891,0,64
_Z20_A3_kernelMergeBandsP6short2ii,35.616,49.29,0.5,186,0,6284,1820,0,0,1232,72,11348,0,32
_Z20_A3_kernelMergeBandsP6short2ii,22.304,36.084,0.5,85,0,2948,908,0,0,640,40,5950,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.392,24.896,0.5,32,0,1222,468,0,0,278,13,2553,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,437.024,450.841,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1300.48,1318.98,0.667,0,0,0,131072,0,0,81604,6827,433635,0,8
_Z15kernelTransposeP6short2i,595.424,614.395,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2397.7,2834.29,0,50856150,116,36532144,0,6619252,12,5439599,6619252,12,12,38181840
memcpyHtoD,1742.05,2119.59,8.40779e-045,37207024,589833,196614,393222,7274576,1,7209065,7274576,1,1,38022664
_Z17maKernelFloodDownP6short2ii,388,412.09,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,472.224,491.033,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,19.744,33.979,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,463.456,481.812,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,595.328,609.667,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2539.81,3350.11,0,7237492,7443072,196611,196611,3276916,12,7274600,3276916,12,12,38181440
memcpyHtoD,2186.82,2515.95,0,1730004092,6226036,51118112,51118142,6881385,1,7602290,6881385,1,1,1230352
_Z23_B1_maKernelCalEndPointP6short2ii,779.36,1007.55,0.667,0,0,0,32768,0,0,85368,4806,364597,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,6323.26,7124.39,0.417,0,0,0,98528,372988,902296,398253,14538,1633015,247,1024
_Z17maKernelTransposeP6short2i,594.4,618.44,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2363.33,2806.21,2410.14,1,6619239,36519960,0,50856120,12,50856020,50856100,12,12,38055976
