# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.096,593.532,6.82868e-038,11403856,11404176,11404056,11403936,11404312,11404192,11404072,11403952,35886664,35886544,37128704
_Z15kernelFloodDownP6short2ii,96.16,123.467,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.64,138.955,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,27.744,41.765,0.667,0,0,0,3692,0,0,1738,554,9872,0,64
_Z20kernelUpdateVerticalP6short2iii,123.328,141.632,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.4,172.865,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,702.656,717.173,0.667,71564,3728,0,32768,0,0,25822,3434,296126,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,101.888,116.077,0.667,0,0,0,20192,0,0,9849,1465,43078,0,64
_Z20_A3_kernelMergeBandsP6short2ii,93.984,107.746,0.5,4938,0,18752,1572,0,0,2629,277,25332,0,32
_Z20_A3_kernelMergeBandsP6short2ii,54.112,67.714,0.5,2359,0,8836,728,0,0,1193,127,11359,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.16,37.585,0.5,1111,0,4412,336,0,0,649,74,6200,0,8
_Z20_A3_kernelMergeBandsP6short2ii,20.512,34.072,0.5,666,0,2380,176,0,0,326,34,3157,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.624,124.065,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,613.216,631.874,0.667,0,0,262144,0,0,0,35137,5648,203843,94771,64
_Z15kernelTransposeP6short2i,161.248,180.074,0.333,0,0,0,36864,0,0,832,0,34954,0,128
memcpyDtoH,517.888,1424.23,0,0,0,0,0,37236944,35250280,30794408,29526408,12,12,30965088
memcpyHtoD,395.584,722.027,8.40779e-045,0,0,0,0,13306408,37191664,13799416,13239704,1,1,13409232
_Z17maKernelFloodDownP6short2ii,107.168,128.119,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.312,139.668,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,28.192,42.276,0.667,0,0,0,3692,0,0,1738,554,9873,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.52,141.626,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.824,172.597,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.824,1252.48,0,1730004344,0,0,0,37450376,13318880,30671744,37236232,12,12,13476272
memcpyHtoD,395.616,596.927,0,264,0,0,0,36837968,30709792,37321696,30408952,1,1,13156664
_Z23_B1_maKernelCalEndPointP6short2ii,1147.84,1170.29,0.667,0,0,0,16384,0,0,126765,18061,544259,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,2479.74,2762.82,0.417,0,0,0,56860,54103,227708,214669,23202,835236,0,512
_Z17maKernelTransposeP6short2i,161.984,300.193,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,572.128,1250.07,7.42688e-043,0,0,0,0,35040944,13256000,37320680,35268064,12,12,35208736
