# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,420.256,929.845,6.82993e-038,28912560,13801600,14042376,30089024,29298712,35135088,35765352,29206904,34823568,29478520,30711424
_Z15kernelFloodDownP6short2ii,94.944,131.861,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120.48,142.829,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,43.424,58.144,0.667,0,0,0,2488,0,0,3010,336,14440,0,64
_Z20kernelUpdateVerticalP6short2iii,121.248,1520.04,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,160.288,177.758,0.333,0,0,0,36864,0,0,832,0,34954,0,128
_Z25_A1_kernelProximatePointsP6short2ii,132.032,147.352,0.667,551,364,0,6464,0,0,10196,35,45839,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,55.072,69.455,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.424,65.819,0.5,3211,0,2048,2844,0,0,1460,39,13592,0,32
_Z20_A3_kernelMergeBandsP6short2ii,42.624,56.285,0.5,2808,0,2546,1440,0,0,887,36,8943,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.832,38.703,0.5,1420,0,1528,704,0,0,520,30,5227,0,8
_Z20_A3_kernelMergeBandsP6short2ii,18.72,32.349,0.5,800,0,964,308,0,0,253,14,2543,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.984,135.274,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,455.04,475.319,0.667,0,0,262144,0,0,0,16683,547,85253,121623,64
_Z15kernelTransposeP6short2i,158.272,177.108,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.696,1007.24,0,12,0,1160872010,1160872010,0,0,0,0,12,12,0
memcpyHtoD,396.224,780.12,8.40779e-045,1,6,1158361313,1158361313,0,6,6,0,1,1,0
_Z17maKernelFloodDownP6short2ii,107.104,127.879,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.184,139.665,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,43.648,57.951,0.667,0,0,0,2488,0,0,3010,336,14440,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.04,141.569,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.408,171.665,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,520.32,1224.54,0,12,0,1163104760,1163104760,0,0,0,0,12,12,0
memcpyHtoD,395.68,601.613,0,1,0,1157067923,1157067923,4294967294,0,0,4294967294,1,1,4294967294
_Z23_B1_maKernelCalEndPointP6short2ii,668.832,691.002,0.667,0,0,0,4096,0,0,64811,3810,260540,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,5263.84,5510.37,0.417,0,0,12362,57828,19159,64220,194509,7395,707645,5959,128
_Z17maKernelTransposeP6short2i,163.2,301.67,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,558.24,1044.45,1.68244e-037,12,0,1160889573,1160889573,0,12,12,0,12,12,0
