# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.064,592.133,1.19322e-037,35059304,35061144,35031592,35031472,11403856,11403856,11403856,11403856,35986584,34848240,29676600
_Z15kernelFloodDownP6short2ii,93.76,120.507,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,120,138.363,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,43.552,57.503,0.667,0,0,0,2488,0,0,3010,336,14439,0,64
_Z20kernelUpdateVerticalP6short2iii,121.344,139.746,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.232,173.977,0.333,0,0,0,36864,0,0,832,0,34957,0,128
_Z25_A1_kernelProximatePointsP6short2ii,132.416,147.316,0.667,551,364,0,6464,0,0,10196,35,45839,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,54.912,69.085,0.667,0,0,0,4176,0,0,8403,19,23740,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.168,65.344,0.5,3211,0,2048,2844,0,0,1460,39,13588,0,32
_Z20_A3_kernelMergeBandsP6short2ii,42.208,55.287,0.5,2808,0,2546,1440,0,0,887,36,8946,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.992,38.803,0.5,1420,0,1528,704,0,0,520,30,5228,0,8
_Z20_A3_kernelMergeBandsP6short2ii,18.08,32.129,0.5,800,0,964,308,0,0,253,14,2546,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.272,123.957,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,461.472,479.999,0.667,0,0,262144,0,0,0,16683,547,85253,119235,64
_Z15kernelTransposeP6short2i,159.648,178.326,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,517.728,1117.53,0,1730004244,2705741569,0,0,1108851818,30370696,0,6619246,12,12,0
memcpyHtoD,397.696,704.111,8.40779e-045,0,2147483650,0,6,1139854803,29691344,1730004244,114,1,1,0
_Z17maKernelFloodDownP6short2ii,107.776,127.07,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.024,139.77,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,42.784,56.46,0.667,0,0,0,2488,0,0,3010,336,14442,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.72,140.841,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.584,174.23,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,519.36,1305.88,0,1730004344,1514228020,0,166,13820736,35967608,0,2,12,12,0
memcpyHtoD,397.856,640.094,0,0,3815479835,4294967294,13,29700648,35106944,13997712,22,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,1341.06,1366.16,0.667,0,0,0,8192,0,0,130457,7790,523736,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,4916.96,5166.61,0.417,0,0,4022,42344,15904,59532,170536,4785,615412,2348,256
_Z17maKernelTransposeP6short2i,160.448,298.524,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,539.744,1012.51,1.68156e-044,1073741824,3463022904,0,4291666944,0,7733363,0,35922368,12,12,0
