# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.504,810.375,1.21052e-037,34832560,35778568,34817344,30020984,35229136,35247136,29854816,35086168,34735840,34971600,35864472
_Z15kernelFloodDownP6short2ii,93.92,325.985,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.088,259.835,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,59.072,75.266,0.667,0,0,0,9280,0,0,3942,999,21461,0,64
_Z20kernelUpdateVerticalP6short2iii,124.288,143.752,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,161.6,176.768,0.333,0,0,0,36864,0,0,832,0,34953,0,128
_Z25_A1_kernelProximatePointsP6short2ii,467.328,483.16,0.667,29558,3800,0,27328,0,0,20117,734,189314,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,68.32,82.688,0.667,0,0,0,7852,0,0,8646,262,27989,0,64
_Z20_A3_kernelMergeBandsP6short2ii,87.264,102.556,0.5,8453,0,13356,2960,0,0,2734,195,27353,0,32
_Z20_A3_kernelMergeBandsP6short2ii,49.568,1499.85,0.5,3771,0,6848,1296,0,0,1219,90,11963,0,16
_Z20_A3_kernelMergeBandsP6short2ii,28.064,46.526,0.5,2013,0,3414,704,0,0,676,49,6713,0,8
_Z20_A3_kernelMergeBandsP6short2ii,23.488,37.702,0.5,925,0,1830,320,0,0,343,28,3383,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.472,123.704,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,453.728,473.151,0.667,0,0,262144,0,0,0,21509,1861,116399,105577,64
_Z15kernelTransposeP6short2i,158.208,177.024,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.952,997.763,0,1730004244,1,18,524,0,0,0,0,12,12,0
memcpyHtoD,397.12,796.423,8.40779e-045,0,2147483650,18,163,0,0,0,0,1,1,0
_Z17maKernelFloodDownP6short2ii,106.688,127.247,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,119.552,137.854,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,58.336,72.429,0.667,0,0,0,9280,0,0,3942,999,21462,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.72,140.991,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,160.288,174.402,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,526.432,1229.1,0,1730004344,0,18,169,0,0,0,0,12,12,0
memcpyHtoD,397.024,607.408,0,0,4294967294,18,525,4294967294,4294967294,4294967294,4294967294,1,1,4294967294
_Z23_B1_maKernelCalEndPointP6short2ii,736.896,759.196,0.667,0,0,0,4096,0,0,74340,8235,298170,0,128
_Z24_B2_maKernelCalInnerBandP6short2ii,8643.87,8889.51,0.417,0,0,43762,95608,54523,197232,606580,39417,2161724,15586,128
_Z17maKernelTransposeP6short2i,156.896,175.884,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,519.136,1016.87,0,0,0,11403656,530,0,0,0,0,12,12,0
