# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,397.408,666.818,1.35933e-037,37421056,37440304,37421176,35042896,11404112,11403992,11403872,11404112,35071760,35071640,34880200
_Z15kernelFloodDownP6short2ii,95.2,121.9,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.248,139.683,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,28.224,42.373,0.667,0,0,0,3692,0,0,1738,554,9872,0,64
_Z20kernelUpdateVerticalP6short2iii,122.848,141.097,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,160.544,175.379,0.333,0,0,0,36864,0,0,832,0,34958,0,128
_Z25_A1_kernelProximatePointsP6short2ii,698.784,712.983,0.667,71564,3728,0,32768,0,0,25822,3434,296125,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,102.304,116.907,0.667,0,0,0,20192,0,0,9849,1465,43075,0,64
_Z20_A3_kernelMergeBandsP6short2ii,94.528,108.697,0.5,4938,0,18752,1572,0,0,2629,277,25328,0,32
_Z20_A3_kernelMergeBandsP6short2ii,54.208,67.969,0.5,2359,0,8836,728,0,0,1193,127,11354,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.64,38.496,0.5,1111,0,4412,336,0,0,649,74,6203,0,8
_Z20_A3_kernelMergeBandsP6short2ii,20.704,34.102,0.5,666,0,2380,176,0,0,326,34,3156,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.112,123.924,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,611.712,630.581,0.667,0,0,262144,0,0,0,35137,5648,203842,94781,64
_Z15kernelTransposeP6short2i,159.2,178.131,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.952,1080.84,0,1141086618,0,0,0,50856322,30326920,30326784,34079182,12,12,1730004244
memcpyHtoD,396.64,724.159,8.40779e-045,1137047503,0,6,6,0,30902824,35625144,0,1,1,1730004244
_Z17maKernelFloodDownP6short2ii,107.04,126.871,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.088,138.715,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,28.192,42.204,0.667,0,0,0,3692,0,0,1738,554,9871,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.464,140.823,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.264,173.608,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,518.464,1245.78,0,1140939817,0,298,0,7471205,11447216,11459296,11403688,12,12,1730004244
memcpyHtoD,397.696,612.226,0,1137051697,4294967294,13,0,6619246,11455760,30659472,29292600,1,1,1730004244
_Z23_B1_maKernelCalEndPointP6short2ii,576.672,599.228,0.667,0,0,0,8192,0,0,63154,8973,270981,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,4460.19,4720.47,0.417,0,0,38428,94960,87535,359916,432657,40728,1659970,14937,256
_Z17maKernelTransposeP6short2i,158.56,178.104,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,526.912,1545.12,1.68156e-044,1140948730,0,0,327680,5636197,35811400,30207376,34078912,12,12,1730004244
