# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1646.18,1954.36,1.47772e-037,11403928,11403808,11404288,11404168,11404048,11403928,11403808,11404288,35430784,38314120,38391072
_Z15kernelFloodDownP6short2ii,362.592,389.576,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.664,488.3,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.744,34.042,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,459.584,478.321,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,594.688,609.724,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1790.18,1804.36,0.667,1010,15362,0,131072,0,0,85554,5977,805501,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,429.344,443.422,0.667,0,0,0,131072,0,0,39129,5977,190577,0,128
_Z20_A3_kernelMergeBandsP6short2ii,65.728,79.708,0.5,344,0,12300,3532,0,0,2482,147,22898,0,64
_Z20_A3_kernelMergeBandsP6short2ii,36.192,50.216,0.5,186,0,6284,1820,0,0,1232,72,11351,0,32
_Z20_A3_kernelMergeBandsP6short2ii,21.504,35.097,0.5,85,0,2948,908,0,0,640,40,5948,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.264,30.971,0.5,32,0,1222,468,0,0,278,13,2551,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,437.696,451.136,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1303.9,1322.72,0.667,0,0,0,131072,0,0,81604,6827,433636,0,8
_Z15kernelTransposeP6short2i,599.328,618.01,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2327.55,2765,0,0,0,0,4294967295,35436704,0,0,1730004244,12,12,4294967295
memcpyHtoD,1737.76,2107.73,8.40779e-045,2752518,37300240,393219,4294967295,36496296,0,0,0,1,1,4294967295
_Z17maKernelFloodDownP6short2ii,386.656,409.903,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,473.92,492.63,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,19.168,33.404,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,461.504,479.894,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,598.272,612.602,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2552.29,3359.49,0,196611,38492784,786435,0,0,1,0,61440,12,12,0
memcpyHtoD,1691.84,2015.52,0,51118255,0,50856377,0,238,0,0,38039792,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,6122.53,6149.18,0.667,0,0,0,262144,0,0,683072,38608,2922268,0,8192
_Z24_B2_maKernelCalInnerBandP6short2ii,717.888,1300.83,0.417,0,0,0,0,0,0,16384,0,229386,0,8192
_Z17maKernelTransposeP6short2i,602.208,621.08,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2390.75,2845.61,2352.42,0,38511944,0,0,22,0,1,444,12,12,0
