# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,2362.53,2721.66,1.48958e-037,38463912,11404552,11404432,11404312,11404312,11404192,11404072,11403952,38449488,38449368,38451664
_Z15kernelFloodDownP6short2ii,364.512,393.663,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,468.544,487.469,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,21.76,36.168,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,462.272,480.85,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,596.64,611.414,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2083.65,2098.18,0.667,79959,13985,0,131072,0,0,91182,8813,932536,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,434.752,751.091,0.667,0,0,0,131072,0,0,41071,7919,192515,0,128
_Z20_A3_kernelMergeBandsP6short2ii,98.368,112.255,0.5,1979,0,25420,2496,0,0,2944,224,27412,0,64
_Z20_A3_kernelMergeBandsP6short2ii,51.776,65.509,0.5,938,0,12624,1216,0,0,1454,109,13567,0,32
_Z20_A3_kernelMergeBandsP6short2ii,29.568,43.311,0.5,496,0,6280,592,0,0,730,55,6840,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.544,30.069,0.5,236,0,3246,316,0,0,374,29,3534,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,437.408,450.793,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1792.29,1811.07,0.667,0,0,0,131072,0,0,105079,15917,565011,0,8
_Z15kernelTransposeP6short2i,596.416,614.825,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2353.95,2795.61,0,4784196,3801157,7471196,7274610,0,0,0,0,12,12,0
memcpyHtoD,1741.95,2128.64,8.40779e-045,2097217,5374044,7536741,7471207,0,0,0,0,1,1,70
_Z17maKernelFloodDownP6short2ii,387.04,410.784,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,470.464,495.033,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.592,36.962,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,464.16,482.495,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,599.552,614.103,0.333,0,0,0,139264,0,0,3200,0,127243,0,512
memcpyDtoH,2561.6,3439.1,0,6029422,4456521,4259913,4784214,0,0,0,0,12,12,0
memcpyHtoD,1693.57,2028.87,0,5636174,4259913,4390944,4784196,0,0,0,0,1,1,82
_Z23_B1_maKernelCalEndPointP6short2ii,7702.98,7729.96,0.667,0,0,0,262144,0,0,807968,79930,3638784,0,8192
_Z24_B2_maKernelCalInnerBandP6short2ii,716.48,2402.58,0.417,0,0,0,0,0,0,16384,0,229386,0,8192
_Z17maKernelTransposeP6short2i,597.376,617.691,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2916.9,3360.44,7.42688e-044,5570640,6357106,6881396,7274563,0,0,0,0,12,12,0
