# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1768.99,2078.56,1.26334e-037,11403912,11403792,11403912,11403792,11403912,11403792,11403912,11403792,36372976,36153416,38068752
_Z15kernelFloodDownP6short2ii,364.224,390.601,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,470.656,489.397,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,19.36,49.215,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,462.336,481.244,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,595.936,611.011,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1763.94,1896.6,0.667,1010,15362,0,131072,0,0,85554,5977,805502,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,430.4,447.133,0.667,0,0,0,131072,0,0,39129,5977,190573,0,128
_Z20_A3_kernelMergeBandsP6short2ii,65.312,79.503,0.5,344,0,12300,3532,0,0,2482,147,22891,0,64
_Z20_A3_kernelMergeBandsP6short2ii,35.264,49.016,0.5,186,0,6284,1820,0,0,1232,72,11346,0,32
_Z20_A3_kernelMergeBandsP6short2ii,21.792,35.173,0.5,85,0,2948,908,0,0,640,40,5950,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.36,25.338,0.5,32,0,1222,468,0,0,278,13,2559,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.384,449.747,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1300.03,1318.85,0.667,0,0,0,131072,0,0,81604,6827,433636,0,8
_Z15kernelTransposeP6short2i,602.048,620.434,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2339.2,2771.47,0,1730004244,262148,51118212,0,1,50856018,51118513,38405352,12,12,262148
memcpyHtoD,1760.06,2147.93,8.40779e-045,1236480,0,38328656,1572874,1,11403728,38266928,38327136,1,1,0
_Z17maKernelFloodDownP6short2ii,388.32,412.108,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,469.888,488.152,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,18.912,33.464,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,464,482.67,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,601.696,657.477,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2750.05,3570.91,0,2066,1730004344,0,6226024,30449080,36297696,38358016,1699468248,12,12,1730004344
memcpyHtoD,1688.22,2043.01,0,4287901696,4288350737,0,0,17,38232672,38358480,38338560,1,1,2577
_Z23_B1_maKernelCalEndPointP6short2ii,3078.66,3108.21,0.667,0,0,0,131072,0,0,341794,19304,1460720,0,4096
_Z24_B2_maKernelCalInnerBandP6short2ii,1943.58,2564.18,0.417,0,0,0,0,114688,458752,40978,9,327764,0,4096
_Z17maKernelTransposeP6short2i,598.048,617.45,0.333,0,0,0,139264,0,0,3200,0,127245,0,512
memcpyDtoH,2419.17,3342.13,2404.22,39,0,0,0,17,50856020,51118475,115,12,12,0
