# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.68,591.757,1.13878e-037,11403856,11404640,11404520,11404400,35418152,35418152,35418152,35418152,35417424,35419896,35417304
_Z15kernelFloodDownP6short2ii,95.104,121.614,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.408,140.053,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,58.944,72.863,0.667,0,0,0,9280,0,0,3942,999,21460,0,64
_Z20kernelUpdateVerticalP6short2iii,122.72,141.109,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,157.92,172.513,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,470.56,485.415,0.667,29558,3800,0,27328,0,0,20117,734,189310,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,67.968,81.894,0.667,0,0,0,7852,0,0,8646,262,27990,0,64
_Z20_A3_kernelMergeBandsP6short2ii,87.904,101.707,0.5,8453,0,13356,2960,0,0,2734,195,27345,0,32
_Z20_A3_kernelMergeBandsP6short2ii,49.216,62.481,0.5,3771,0,6848,1296,0,0,1219,90,11963,0,16
_Z20_A3_kernelMergeBandsP6short2ii,28.768,42.4,0.5,2013,0,3414,704,0,0,676,49,6720,0,8
_Z20_A3_kernelMergeBandsP6short2ii,23.808,37.69,0.5,925,0,1830,320,0,0,343,28,3384,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.24,123.936,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,449.792,468.634,0.667,0,0,262144,0,0,0,21509,1861,116399,106304,64
_Z15kernelTransposeP6short2i,159.264,178.176,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,520.48,1123.47,0,0,0,16,384,0,18,0,0,12,0,1153182294
memcpyHtoD,397.056,706.162,8.40779e-045,0,0,18,0,85,384,0,0,1,0,1147618509
_Z17maKernelFloodDownP6short2ii,107.776,126.931,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.344,139.954,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,58.496,72.282,0.667,0,0,0,9280,0,0,3942,999,21462,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.672,138.922,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,159.52,174.263,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.92,1246.2,0,1730004344,0,16,0,0,18,0,0,12,0,1152980091
memcpyHtoD,397.952,756.4,0,264,0,18,0,82,384,0,0,1,0,1143892935
_Z23_B1_maKernelCalEndPointP6short2ii,5799.49,5824.19,0.667,0,0,0,32768,0,0,590500,65846,2365357,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,422.848,668.172,0.417,0,0,0,0,15813,63252,9858,781,73218,0,1024
_Z17maKernelTransposeP6short2i,157.984,176.576,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.792,1235.88,7.42688e-044,0,0,0,0,0,0,20,0,12,0,1148764094
