# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.584,624.807,1.35991e-037,37260928,35985440,35864472,30711424,37291440,37241088,37264496,35042896,35809816,35086168,37264376
_Z15kernelFloodDownP6short2ii,95.072,121.834,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.856,140.396,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,12.288,26.911,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z20kernelUpdateVerticalP6short2iii,120.672,139.488,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.016,172.248,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,571.84,586.605,0.667,25896,3234,0,32768,0,0,23261,2465,240653,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,113.792,128.083,0.667,0,0,0,32764,0,0,10304,1920,49174,0,64
_Z20_A3_kernelMergeBandsP6short2ii,56.48,70.76,0.5,1267,0,13420,1212,0,0,1598,133,15002,0,32
_Z20_A3_kernelMergeBandsP6short2ii,30.944,44.445,0.5,603,0,6638,536,0,0,772,62,7226,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.992,30.661,0.5,319,0,3318,296,0,0,410,35,3874,0,8
_Z20_A3_kernelMergeBandsP6short2ii,14.56,28.24,0.5,131,0,1472,164,0,0,208,18,1958,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.656,124.363,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1188.13,1207.02,0.667,0,0,262144,0,0,0,68880,14217,426443,97457,64
_Z15kernelTransposeP6short2i,158.88,177.397,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,518.016,1019.03,0,0,0,0,12,0,12,12,7471215,12,12,18
memcpyHtoD,396.096,695.883,8.40779e-045,0,6,6,1,6,1,1,6357111,1,1,384
_Z17maKernelFloodDownP6short2ii,108.608,128.203,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,120.416,138.832,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12.544,27.076,0.667,0,0,0,1900,0,0,676,120,4016,0,64
_Z22maKernelUpdateVerticalP6short2iii,121.216,139.602,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,160.992,175.469,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.504,1267.77,0,0,0,0,12,0,12,12,3539024,12,12,18
memcpyHtoD,395.616,633.035,0,4294967294,0,0,1,0,1,1,6815859,1,1,384
_Z23_B1_maKernelCalEndPointP6short2ii,73.344,96.898,0.667,0,0,0,2048,0,0,6898,740,30883,0,64
_Z24_B2_maKernelCalInnerBandP6short2ii,5545.28,5790.02,0.417,0,0,80592,103752,206108,959244,467417,36516,1875426,95377,64
_Z17maKernelTransposeP6short2i,159.36,177.878,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,520,1010.9,0,0,12,12,12,12,12,12,1153499136,12,12,0
