# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1809.82,2236.89,7.95986e-038,34848520,34848400,30857640,13805832,13521520,13793696,13721656,29830176,13788568,13823680,30649144
_Z15kernelFloodDownP6short2ii,366.656,394.926,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,468.8,487.175,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,22.624,36.956,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,463.168,481.782,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,600.256,615.276,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2852.1,2866.09,0.667,272965,15825,0,131072,0,0,105734,15971,1258542,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,429.088,443.443,0.667,0,0,0,113848,0,0,40890,7738,189812,0,128
_Z20_A3_kernelMergeBandsP6short2ii,157.024,171.217,0.5,6544,0,34472,2520,0,0,4623,496,43920,0,64
_Z20_A3_kernelMergeBandsP6short2ii,81.856,95.262,0.5,3474,0,17622,1160,0,0,2281,245,21590,0,32
_Z20_A3_kernelMergeBandsP6short2ii,52.384,66.099,0.5,1680,0,8628,632,0,0,1172,125,11219,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.64,37.759,0.5,773,0,4226,308,0,0,577,62,5498,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.384,454.589,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1566.34,1584.85,0.667,0,0,0,131072,0,0,91632,11433,484318,0,8
_Z15kernelTransposeP6short2i,594.656,613.198,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2375.1,2830.83,0,0,0,0,0,595,0,0,0,12,12,0
memcpyHtoD,1794.88,2178.3,8.40779e-045,0,6,6,0,147,6,6,0,1,1,6
_Z17maKernelFloodDownP6short2ii,389.088,412.264,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,468.032,486.739,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,23.936,38.105,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,464.416,483.145,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,598.336,612.768,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
memcpyDtoH,2598.27,3502.19,0,0,0,0,0,153,0,304,0,12,12,298
memcpyHtoD,1638.27,1901.19,0,4294967294,0,0,4294967294,596,0,13,4294967294,1,1,13
_Z23_B1_maKernelCalEndPointP6short2ii,421.184,448.787,0.667,0,0,0,8192,0,0,45219,6379,198743,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,26953.8,27217.3,0.417,0,0,432416,476248,700826,3691324,2621989,245396,10338833,337684,256
_Z17maKernelTransposeP6short2i,598.24,619.622,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
memcpyDtoH,2398.5,2860.31,0,0,3,0,0,601,0,0,0,12,12,0
