# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,2146.88,2508.48,7.52742e-038,29787232,34954088,35864472,36346032,35417304,37296584,37261328,37925376,35654552,29066352,36127344
_Z15kernelFloodDownP6short2ii,363.744,409.633,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,468.512,488.221,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,18.944,34.288,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z20kernelUpdateVerticalP6short2iii,465.824,485.187,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,594.688,610.404,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
_Z25_A1_kernelProximatePointsP6short2ii,1792.1,1809.59,0.667,1010,15362,0,131072,0,0,85554,5977,805500,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.512,444.074,0.667,0,0,0,131072,0,0,39129,5977,190571,0,128
_Z20_A3_kernelMergeBandsP6short2ii,67.616,82.21,0.5,344,0,12300,3532,0,0,2482,147,22895,0,64
_Z20_A3_kernelMergeBandsP6short2ii,36.32,50.12,0.5,186,0,6284,1820,0,0,1232,72,11347,0,32
_Z20_A3_kernelMergeBandsP6short2ii,22.08,35.567,0.5,85,0,2948,908,0,0,640,40,5955,0,16
_Z20_A3_kernelMergeBandsP6short2ii,11.104,25.076,0.5,32,0,1222,468,0,0,278,13,2553,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.736,450.432,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1304.83,1323.85,0.667,0,0,0,131072,0,0,81604,6827,433637,0,8
_Z15kernelTransposeP6short2i,592.928,611.432,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2355.04,2919.89,0,0,7471215,7471215,12,12,12,7471215,0,12,12,1160288666
memcpyHtoD,1772.83,2211.85,8.40779e-045,0,6357111,6357111,1,1,1,6357111,0,1,1,1155258384
_Z17maKernelFloodDownP6short2ii,387.84,419.079,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,474.368,492.76,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,19.232,33.753,0.667,0,0,0,112,0,0,1125,13,6654,0,128
_Z22maKernelUpdateVerticalP6short2iii,463.168,481.779,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,594.304,608.672,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
memcpyDtoH,2562.11,3696.35,0,0,3539024,3539024,12,12,12,3539024,0,12,12,1159699890
memcpyHtoD,1757.7,2104.95,0,4294967294,6815859,6815859,1,1,1,6815859,4294967294,1,1,1156646699
_Z23_B1_maKernelCalEndPointP6short2ii,200.576,227.339,0.667,0,0,0,8192,0,0,21317,1197,90975,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,7674.78,8297.81,0.417,0,0,384,124092,439530,1021560,491467,18336,1975913,2370,256
_Z17maKernelTransposeP6short2i,601.024,740.024,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,2926.46,3371.79,2362.56,0,0,0,12,12,12,0,0,12,12,1160596554
