# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,396.672,600.807,1.38679e-037,37493672,37493672,37493672,11404568,37491008,37491008,11404600,11404480,37560112,37559992,37510440
_Z15kernelFloodDownP6short2ii,96.32,123.202,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.984,140.492,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,28.832,42.992,0.667,0,0,0,3692,0,0,1738,554,9870,0,64
_Z20kernelUpdateVerticalP6short2iii,122.08,140.669,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,159.552,174.856,0.333,0,0,0,36864,0,0,832,0,34952,0,128
_Z25_A1_kernelProximatePointsP6short2ii,699.744,714.03,0.667,71564,3728,0,32768,0,0,25822,3434,296125,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,102.272,116.441,0.667,0,0,0,20192,0,0,9849,1465,43077,0,64
_Z20_A3_kernelMergeBandsP6short2ii,94.656,108.974,0.5,4938,0,18752,1572,0,0,2629,277,25330,0,32
_Z20_A3_kernelMergeBandsP6short2ii,55.2,68.429,0.5,2359,0,8836,728,0,0,1193,127,11354,0,16
_Z20_A3_kernelMergeBandsP6short2ii,25.056,38.598,0.5,1111,0,4412,336,0,0,649,74,6202,0,8
_Z20_A3_kernelMergeBandsP6short2ii,20.544,33.949,0.5,666,0,2380,176,0,0,326,34,3155,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.4,124.655,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,611.712,630.205,0.667,0,0,262144,0,0,0,35137,5648,203842,94398,64
_Z15kernelTransposeP6short2i,158.912,177.43,0.333,0,0,0,36864,0,0,832,0,34957,0,128
memcpyDtoH,517.728,1075.33,0,7143541,6750318,4390912,5177423,29526408,37371344,0,0,12,12,0
memcpyHtoD,395.968,688.535,8.40779e-045,7209061,6029427,5242947,3997780,13239704,30728616,0,0,1,1,0
_Z17maKernelFloodDownP6short2ii,107.968,127.629,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,122.144,140.651,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,28.672,43.058,0.667,0,0,0,3692,0,0,1738,554,9871,0,64
_Z22maKernelUpdateVerticalP6short2iii,123.456,141.761,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,157.024,171.382,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.856,1254.78,0,6881396,7602273,6619220,6029416,13407760,0,0,0,12,12,0
memcpyHtoD,395.712,603.342,0,6750318,7274601,6029400,4653123,37236232,19,0,0,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,2307.01,2329.18,0.667,0,0,0,32768,0,0,253647,36189,1088395,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,489.056,735.311,0.417,0,0,0,0,27244,108976,12238,1019,86798,0,1024
_Z17maKernelTransposeP6short2i,159.84,178.302,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,517.888,1028.91,2.52234e-044,7536725,4390912,3211390,3211310,30779088,0,0,0,12,12,0
