# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.968,593.011,1.07686e-037,35794656,35028576,35551040,14025904,11403896,11403776,11403904,11403784,35247672,35069896,35213096
_Z15kernelFloodDownP6short2ii,96.48,123.644,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,121.376,139.469,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,59.776,73.777,0.667,0,0,0,9280,0,0,3942,999,21459,0,64
_Z20kernelUpdateVerticalP6short2iii,121.28,139.454,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,155.488,169.842,0.333,0,0,0,36864,0,0,832,0,34955,0,128
_Z25_A1_kernelProximatePointsP6short2ii,467.84,482.877,0.667,29558,3800,0,27328,0,0,20117,734,189308,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,68.096,82.841,0.667,0,0,0,7852,0,0,8646,262,27988,0,64
_Z20_A3_kernelMergeBandsP6short2ii,87.296,101.169,0.5,8453,0,13356,2960,0,0,2734,195,27350,0,32
_Z20_A3_kernelMergeBandsP6short2ii,48.608,62.511,0.5,3771,0,6848,1296,0,0,1219,90,11964,0,16
_Z20_A3_kernelMergeBandsP6short2ii,26.656,40.18,0.5,2013,0,3414,704,0,0,676,49,6711,0,8
_Z20_A3_kernelMergeBandsP6short2ii,23.776,37.224,0.5,925,0,1830,320,0,0,343,28,3384,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,109.472,123.112,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,448.864,467.494,0.667,0,0,262144,0,0,0,21509,1861,116399,105718,64
_Z15kernelTransposeP6short2i,160.128,179.262,0.333,0,0,0,36864,0,0,832,0,34956,0,128
memcpyDtoH,517.792,1112.22,0,1,1730004244,34885377,1730004244,64,0,35810992,29564888,12,12,50856427
memcpyHtoD,397.6,710.788,8.40779e-045,2147483650,0,2147483650,0,0,0,30017976,29193256,1,1,0
_Z17maKernelFloodDownP6short2ii,107.872,127.629,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.408,139.981,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,58.88,73.211,0.667,0,0,0,9280,0,0,3942,999,21462,0,64
_Z22maKernelUpdateVerticalP6short2iii,122.336,141.003,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,158.176,184.591,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,561.152,1317.75,0,0,1730004344,0,1730004344,64,0,30327192,30902824,12,12,0
memcpyHtoD,395.744,687.329,0,4294967294,0,14,0,0,0,35811400,35174448,1,1,1072693248
_Z23_B1_maKernelCalEndPointP6short2ii,1414.59,1439.03,0.667,0,0,0,8192,0,0,148119,16602,593703,0,256
_Z24_B2_maKernelCalInnerBandP6short2ii,6863.49,7110.05,0.417,0,0,14378,70340,42791,161740,466336,26413,1652466,5758,256
_Z17maKernelTransposeP6short2i,158.4,177.204,0.333,0,0,0,36864,0,0,832,0,34955,0,128
memcpyDtoH,517.632,1001.34,0,0,35555072,0,4294967040,0,0,35944512,35754672,12,12,0
