# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1704.8,2059.09,1.46207e-037,11403856,38167688,11404552,11404432,11404512,11404392,11404272,11404152,38172936,38172816,36538592
_Z15kernelFloodDownP6short2ii,363.648,390.743,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.856,488.381,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,21.792,35.891,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z20kernelUpdateVerticalP6short2iii,464.992,483.749,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,594.432,608.47,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2085.41,2099.74,0.667,79959,13985,0,131072,0,0,91182,8813,932535,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,431.52,445.954,0.667,0,0,0,131072,0,0,41071,7919,192512,0,128
_Z20_A3_kernelMergeBandsP6short2ii,96.544,110.567,0.5,1979,0,25420,2496,0,0,2944,224,27406,0,64
_Z20_A3_kernelMergeBandsP6short2ii,50.72,63.852,0.5,938,0,12624,1216,0,0,1454,109,13567,0,32
_Z20_A3_kernelMergeBandsP6short2ii,29.792,42.941,0.5,496,0,6280,592,0,0,730,55,6837,0,16
_Z20_A3_kernelMergeBandsP6short2ii,16.32,29.907,0.5,236,0,3246,316,0,0,374,29,3536,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,434.592,448.065,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1787.3,1833.07,0.667,0,0,0,131072,0,0,105079,15917,565010,0,8
_Z15kernelTransposeP6short2i,596.288,749.789,0.333,0,0,0,139264,0,0,3200,0,127246,0,512
memcpyDtoH,2354.4,3025.35,0,0,7143541,6750318,4390912,13420680,37511112,13240424,35955480,12,12,0
memcpyHtoD,1764,2147.34,8.40779e-045,0,7209061,6029427,5242947,13462952,13462016,36476072,13475560,1,1,0
_Z17maKernelFloodDownP6short2ii,392.288,415.539,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,469.984,488.032,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,22.112,36.201,0.667,0,0,0,3688,0,0,1352,240,8016,0,128
_Z22maKernelUpdateVerticalP6short2iii,464.16,482.573,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,594.784,609.456,0.333,0,0,0,139264,0,0,3200,0,127240,0,512
memcpyDtoH,3380.16,4076.52,0,1730004344,6881396,7602273,6619220,13208304,13345536,36388448,38055648,12,12,0
memcpyHtoD,2066.37,2341.82,0,264,6750318,7274601,6029400,38092528,38056544,38013304,35753432,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,1889.63,2126.94,0.667,0,0,0,65536,0,0,202431,20015,911064,0,2048
_Z24_B2_maKernelCalInnerBandP6short2ii,6499.42,7237.26,0.417,0,0,0,155396,286720,1022764,462215,35327,1950843,0,2048
_Z17maKernelTransposeP6short2i,601.184,740.039,0.333,0,0,0,139264,0,0,3200,0,127242,0,512
memcpyDtoH,2357.12,2801.69,2.52234e-044,0,7536725,4390912,3211390,13392872,13296056,13441488,34979160,12,12,0
